name,description,Level,School,Components,DamageType,CastingTime,Range,Save
Animal Shapes,"Level 8 Transmutation (Druid) Casting Time: Action Range: 30 feet Components: V, S Duration: 24 hours Choose any number of willing creatures that you can see within range. Each target shape-shifts into a Large or smaller Beast of your choice that has a Challenge Rating of 4 or lower. You can choose a different form for each target . On later turns, you can take a Magic action to transform the targets again. A target’s game statistics are replaced by the chosen Beast’s statistics, but the target retains its creature type; Hit Points ; Hit Point Dice ; alignment ; ability to communicate; and Intelligence , Wisdom , and Charisma scores . The target’s actions are limited by the Beast form’s anatomy, and it can’t cast spells. The target’s equipment melds into the new form, and the target can’t use any of that equipment while in that form. The target gains a number of Temporary Hit Points equal to the Beast form’s Hit Points . The transformation lasts for the duration for each target , until the target has no Temporary Hit Points , or until the target leaves the form as a Bonus Action .",8,Transmutation,V S,,Action,,
Animate Dead,"Level 3 Necromancy (Cleric, Wizard) Casting Time: 1 minute Range: 10 feet Components: V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust) Duration: Instantaneous Choose a pile of bones or a corpse of a Medium or Small Humanoid within range. The target becomes an Undead creature: a Skeleton if you chose bones or a Zombie if you chose a corpse. On each of your turns, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures , you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you’ve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature . Using a Higher-Level Spell Slot. You animate or reassert control over two additional Undead creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones.",3,Necromancy,V S M,,1 minute,,
Animate Objects,"Level 5 Transmutation (Bard, Sorcerer, Wizard) Casting Time: Action Range: 120 feet Components: V, S Duration: Concentration, up to 1 minute Objects animate at your command. Choose a number of nonmagical objects within range that aren’t being worn or carried, aren’t fixed to a surface, and aren’t Gargantuan . The maximum number of objects is equal to your spellcasting ability modifier; for this number, a Medium or smaller target counts as one object, a Large target counts as two, and a Huge target counts as three. Each target animates, sprouts legs, and becomes a Construct that uses the Animated Object stat block; this creature is under your control until the spell ends or until it is reduced to 0 Hit Points. Each creature you make with this spell is an ally to you and your allies. In combat, it shares your Initiative count and takes its turn immediately after yours. Until the spell ends, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures , you can command any of them at the same time, issuing the same command to each one). If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. When the creature drops to 0 Hit Points , it reverts to its object form, and any remaining damage carries over to that form. Animated Object (Tiny) Animated Object (Small or Medium) Animated Object (Large) Animated Object (Huge) Using a Higher-Level Spell Slot. The creature’s Slam damage increases by 1d4 (Medium or smaller), 1d6 (Large), or 1d12 (Huge) for each spell slot level above 5.",5,Transmutation,V S,,Action,,
Antagonize,"3rd-Level Enchantment Casting Time : 1 action Rang e: 30 feet Components: V, S, M (a playing card depicting a rogue) Duration: Instantaneous You whisper magical words that antagonize one creature of your choice within range. The target must make a Wisdom saving throw. On a failed save, the target takes 4d4 psychic damage and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. If the target can’t make this attack (for example, because there is no one within its reach or because its reaction is unavailable), the target instead has disadvantage on the next attack roll it makes before the start of your next turn. On a successful save, the target takes half as much damage only. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d4 for each slot level above 3rd.",3,Enchantment,"V, S, M",Psychic,1 action,,Wisdom
Antilife Shell,"Level 5 Abjuration (Druid) Casting Time: Action Range: Self Components: V, S Duration: Concentration, up to 1 hour An aura extends from you in a 10-foot Emanation for the duration. The aura prevents creatures other than Constructs and Undead from passing or reaching through it. An affected creature can cast spells or make attacks with Ranged or Reach weapons through the barrier. If you move so that an affected creature is forced to pass through the barrier, the spell ends.",5,Abjuration,V S,,Action,Self (10 ft ○),
Antimagic Field,"Level 8 Abjuration (Cleric, Wizard) Casting Time: Action Range: Self Components: V, S, M (iron filings) Duration: Concentration, up to 1 hour An aura of antimagic surrounds you in 10-foot Emanation . No one can cast spells, take Magic actions , or create other magical effects inside the aura, and those things can’t target or otherwise affect anything inside it. Magical properties of magic items don’t work inside the aura or on anything inside it. Areas of effect created by spells or other magic can’t extend into the aura, and no one can teleport into or out of it or use planar travel there. Portals close temporarily while in the aura. Ongoing spells, except those cast by an Artifact or a deity, are suppressed in the area. While an effect is suppressed, it doesn’t function, but the time it spends suppressed counts against its duration. Dispel Magic has no effect on the aura, and the auras created by different Antimagic Field spells don’t nullify each other.",8,Abjuration,V S M,,Action,Self (10 ft ○),
Antipathy Sympathy,"Level 8 Enchantment (Bard, Druid, Wizard) Casting Time: 1 hour Range: 60 feet Components: V, S, M (a mix of vinegar and honey) Duration: 10 days As you cast the spell, choose whether it creates antipathy or sympathy, and target one creature or object that is Huge or smaller . Then specify a kind of creature , such as red dragons, goblins, or vampires. A creature of the chosen kind makes a Wisdom saving throw when it comes within 120 feet of the target . Your choice of antipathy or sympathy determines what happens to a creature when it fails that save: Antipathy. The creature has the Frightened condition. The Frightened creature must use its movement on its turns to get as far away as possible from the target , moving by the safest route. Sympathy. The creature has the Charmed condition. The Charmed creature must use its movement on its turns to get as close as possible to the target , moving by the safest route. If the creature is within 5 feet of the target , the creature can’t willingly move away. If the target damages the Charmed creature , that creature can make a Wisdom saving throw to end the effect, as described below. Ending the Effect. If the Frightened or Charmed creature ends its turn more than 120 feet away from the target , the creature makes a Wisdom saving throw . On a successful save, the creature is no longer affected by the target . A creature that successfully saves against this effect is immune to it for 1 minute, after which it can be affected again.",8,Enchantment,V S M,,1 hour,,Wisdom
Arcane Eye,"Level 4 Divination (Wizard) Casting Time: Action Range: 30 feet Components: V, S, M (a bit of bat fur) Duration: Concentration, up to 1 hour You create an Invisible , invulnerable eye within range that hovers for the duration. You mentally receive visual information from the eye, which can see in every direction. It also has Darkvision with a range of 30 feet. As a Bonus Action , you can move the eye up to 30 feet in any direction. A solid barrier blocks the eye’s movement, but the eye can pass through an opening as small as 1 inch in diameter.",4,Divination,V S M,,Action,,
Arcane Gate,"Level 6 Conjuration (Sorcerer, Warlock, Wizard) Casting Time: Action Range: 500 feet Components: V, S Duration: Concentration, up to 10 minutes You create linked teleportation portals. Choose two Large , unoccupied spaces on the ground that you can see, one space within range and the other one within 10 feet of you. A circular portal opens in each of those spaces and remains for the duration. The portals are two-dimensional glowing rings filled with mist that blocks sight. They hover inches from the ground and are perpendicular to it. A portal is open on only one side (you choose which). Anything entering the open side of a portal exits from the open side of the other portal as if the two were adjacent to each other. As a Bonus Action , you can change the facing of the open sides.",6,Conjuration,V S,,Action,,
Arcane Lock,"2nd-Level Abjuration Casting Time : 1 action Rang e: Touch Components: V, S, M (gold dust worth at least 25 gp, which the spell consumes) Duration : Until dispelled You touch a closed door, window, gate, chest, or other entryway, and it becomes locked for the duration. You and the creatures you designate when you cast this spell can open the object normally. You can also set a password that, when spoken within 5 feet of the object, suppresses this spell for 1 minute. Otherwise, it is impassable until it is broken or the spell is dispelled or suppressed. Casting knock on the object suppresses arcane lock for 10 minutes. While affected by this spell, the object is more difficult to break or force open; the DC to break it or pick any locks on it increases by 10.",2,Abjuration,V S M,,1 action,Touch,
Arcane Vigor,"Level 2 Abjuration (Sorcerer, Wizard) Casting Time: Bonus Action Range: Self Component: V, S Duration: Instantaneous You tap into your life force to heal yourself. Roll one or two of your unexpended Hit Point Dice , and regain a number of Hit Points equal to the roll’s total plus your spellcasting ability modifier. Those dice are then expended. Using a Higher-Level Spell Slot. The number of unexpended Hit Dice you can roll increases by one for each spell slot level above 2.",2,Abjuration,V S,,Bonus Action,,
Armor of Agathys,"Level 1 Abjuration (Warlock) Casting Time: Bonus Action Range: Self Components: V, S, M (a shard of blue glass) Duration: 1 hour Protective magical frost surrounds you. You gain 5 Temporary Hit Points . If a creature hits you with a melee attack roll before the spell ends, the creature takes 5 Cold damage . The spell ends early if you have no Temporary Hit Points . Using a Higher-Level Spell Slot. The Temporary Hit Points and the Cold damage both increase by 5 for each spell slot level above 1.",1,Abjuration,V S M,Cold,Bonus Action,,
Arms of Hadar,"Level 1 Conjuration (Warlock) Casting Time: Action Range: Self Components: V, S Duration: Instantaneous Invoking Hadar, you cause tendrils to erupt from yourself. Each creature in a 10-foot Emanation originating from you makes a Strength saving throw . On a failed save, a target takes 2d6 Necrotic damage and can’t take Reactions until the start of its next turn. On a successful save , a target takes half as much damage only. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",1,Conjuration,V S,Necrotic,Action,Self (10 ft ○),Strength
Ashardalon's Stride,"3rd-Level Transmutation Casting Time : 1 bonus action Rang e: Self Components: V, S Duration : Concentration, up to 1 minute The billowing flames of a dragon blast from your feet, granting you explosive speed. For the duration, your speed increases by 20 feet and moving doesn't provoke opportunity attacks. When you move within 5 feet of a creature or an object that isn't being worn or carried, it takes 1d6 fire damage from your trail of heat. A creature or object can take this damage only once during a turn. At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, increase your speed by 5 feet for each spell slot level above 3rd. The spell deals an additional 1d6 fire damage for each slot level above 3rd.",3,Transmutation,"V, S",,1 bonus action,Self,
Astral Projection,"Level 9 Necromancy (Cleric, Warlock, Wizard) Casting Time: 1 hour Range: 10 feet Components: V, S, M (for each of the spell's targets, one jacinth worth 1,000+ GP and one silver bar worth 100 + GP, all of which the spell consumes) Duration: Until dispelled You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell ends instantly if you are already on that plane). Each target’s body is left behind in a state of suspended animation; it has the Unconscious condition, doesn’t need food or air, and doesn’t age. A target’s astral form resembles its body in almost every way, replicating its game statistics and possessions. The principal difference is the addition of a silvery cord that trails from between the shoulder blades of the astral form. The cord fades from view after 1 foot. If the cord is cut—which happens only when an effect states that it does so—the target’s body and astral form both die. A target’s astral form can travel through the Astral Plane. The moment an astral form leaves that plane, the target’s body and possessions travel along the silver cord, causing the target to re-enter its body on the new plane. Any damage or other effects that apply to an astral form have no effect on the target’s body and vice versa. If a target’s body or astral form drops to 0 Hit Points , the spell ends for that target . The spell ends for all the targets if you take a Magic action to dismiss it. When the spell ends for a target who isn’t dead, the target reappears in its body and exits the state of suspended animation.",9,Necromancy,V S M,,1 hour,,
Augury,"By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The DM chooses from the following possible omens: Weal , for good results Woe , for bad results Weal and woe , for both good and bad results Nothing , for results that aren’t especially good or bad The spell doesn’t take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion. If you cast the spell two or more times before completing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret.",2,Divination,V S M,,1 minute,Self,
Aura of Life,"Level 4 Abjuration (Cleric, Paladin) Casting Time: Action Range: Self Components: V Duration: Concentration, up to 10 minutes An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage , and your Hit Point maximums can’t be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point .",4,Abjuration,V,,Action,Self (30 ft ○),
Aura of Purity,"Level 4 Abjuration (Cleric, Paladin) Casting Time: Action Range: Self Components: V Duration: Concentration, up to 10 minutes An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Poison damage and Advantage on saving throws to avoid or end effects that include the Blinded , Charmed , Deafened , Frightened , Paralyzed , Poisoned , or Stunned condition.",4,Abjuration,V,,Action,Self (30 ft ○),
Aura of Vitality,"Level 3 Abjuration (Cleric, Druid, Paladin) Casting Time: Action Range: Self Components: V Duration: Concentration, up to 1 minute An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",3,Abjuration,V,,Action,Self (30 ft ○),
Awaken,"Level 5 Transmutation (Bard, Druid) Casting Time: 8 hours Range: Touch Components: V, S, M (an agate worth 1,000+ GP, which the spell consumes) Duration: Instantaneous You spend the casting time tracing magical pathways within a precious gemstone, and then touch the target . The target must be either a Beast or Plant creature with an Intelligence of 3 or less or a natural plant that isn’t a creature . The target gains an Intelligence of 10 and the ability to speak one language you know. If the target is a natural plant, it becomes a Plant creature and gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human’s. The DM chooses statistics appropriate for the awakened Plant , such as the statistics for the Awakened Shrub or Awakened Tree in the Monst er Manual . The awakened target has the Charmed condition for 30 days or until you or your allies deal damage to it. When that condition ends, the awakened creature chooses its attitude toward you.",5,Transmutation,V S M,,8 hours,,
Bane,"Level 1 Enchantment (Bard, Cleric, Warlock) Casting Time: Action Range: 30 feet Components: V, S, M (a drop of blood) Duration: Concentration, up to 1 minute Up to three creatures of your choice that you can see within range must each make a Charisma saving throw . Whenever a target that fails this save makes an attack roll or a saving throw before the spell ends, the target must subtract 1d4 from the attack roll or save. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1.",1,Enchantment,V S M,,Action,,Charisma
Banishing Smite,"Level 5 Conjuration (Paladin) Casting Time: Bonus Action, which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike Range: Self Components: V Duration: Concentration, up to 1 minute The target hit by the attack roll takes an extra 5d10 Force damage from the attack. If the attack reduces the target to 50 Hit Points or fewer, the target must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.",5,Conjuration,V,Force,Bonus Action,,Charisma
Banishment,"Level 4 Abjuration (Cleric, Paladin, Sorcerer, Warlock, Wizard) Casting Time: Action Range: 30 feet Components: V, S, M (a pentacle) Duration: Concentration, up to 1 minute One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied. If the target is an Aberration , a Celestial , an Elemental , a Fey , or a Fiend , the target doesn’t return if the spell lasts for 1 minute. The target is instead transported to a random location on a plane (DM’s choice) associated with its creature type. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4.",4,Abjuration,V S M,,Action,,Charisma
Barkskin,"Level 2 Transmutation (Druid, Ranger) Casting Time: Bonus Action Range: Touch Components: V, S, M (a handful of bark) Duration: 1 hour You touch a willing creature . Until the spell ends, the target’s skin assumes a bark-like appearance, and the target has an Armor Class of 17 if its AC is lower than that.",2,Transmutation,V S M,,Bonus Action,,
Beacon of Hope,"3rd-Level Abjuration Casting Time : 1 action Rang e: 30 feet Components: V, S Duration : Concentration, up to 1 minute This spell bestows hope and vitality. Choose any number of creatures within range. For the duration, each target has advantage on Wisdom saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.",3,Abjuration,V S,,1 action,30 feet,
Beast Bond,"1st-Level Divination Casting Time : 1 action Rang e: Touch Components: V, S, M (a bit of fur wrapped in a cloth) Duration : Concentration, up to 10 minutes You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast’s Intelligence is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.",1,Divination,"V, S, M",,1 action,Touch,
Beast Sense,"Level 2 Divination (Druid, Ranger) Casting Time: Action or Ritual Range: Touch Components: S Duration: Concentration, up to 1 hour You touch a willing Beast . For the duration, you can perceive through the Beast’s senses as well as your own. When perceiving through the Beast’s senses, you benefit from any special senses it has.",2,Divination,S,,Action or Ritual,,
Befuddlement,"Level 8 Enchantment (Bard, Druid, Warlock, Wizard) Casting Time: Action Range: 150 feet Components: V, S, M (a key ring with no keys) Duration: Instantaneous You blast the mind of a creature that you can see within range. The target makes an Intelligence saving throw . On a failed save, the target takes 10d12 Psychic damage and can’t cast spells or take the Magic action . At the end of every 30 days, the target repeats the save, ending the effect on a success. The effect can also be ended by the Greater Restoration , Heal , or W ish spell. On a successful save, the target takes half as much damage only.",8,Enchantment,V S M,Psychic,Action,,Intelligence
Bestow Curse,"Level 3 Necromancy (Bard, Cleric, Wizard) Casting Time: Action Range: Touch Components: V, S Duration: Concentration, up to 1 minute You touch a creature , which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice: Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability. The target has Disadvantage on attack rolls against you. In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn. If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage . Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn’t require Concentration , and the duration becomes 8 hours (level 5–6 slot) or 24 hours (level 7–8 slot). If you use a level 9 spell slot, the spell lasts until dispelled.",3,Necromancy,V S,,Action,,Intelligence
Bigby's Hand,"Level 5 Evocation (Sorcerer, Wizard) Casting Time: Action Range: 120 feet Components: V, S, M (an eggshell and a glove) Duration: Concentration, up to 1 minute You create a Large hand of shimmering magical energy in an unoccupied space that you can see within range. The hand lasts for the duration, and it moves at your command, mimicking the movements of your own hand. The hand is an object that has AC 20 and Hit Points equal to your Hit Point maximum. If it drops to 0 Hit Points , the spell ends. The hand doesn’t occupy its space. When you cast the spell and as a Bonus Action on your later turns, you can move the hand up to 60 feet and then cause one of the following effects: Clenched Fist. The hand strikes a target within 5 feet of it. Make a melee spell attack. On a hit, the target takes 5d8 Force damage . Forceful Hand. The hand attempts to push a Huge or smaller creature within 5 feet of it. The target must succeed on a Strength saving throw , or the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand moves with the target , remaining within 5 feet of it. Grasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. The target must succeed on a Dexterity saving throw , or the target has the Grappled condition, with an escape DC equal to your spell save DC. While the hand grapples the target , you can take a Bonus Action to cause the hand to crush it, dealing Bludgeoning damage to the target equal to 4d6 plus your spellcasting ability modifier . Interposing Hand. The hand grants you Half Cover against attacks and other effects that originate from its space or that pass through it. In addition, its space counts as Difficult Terrain for your enemies. Using a Higher-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.",5,Evocation,V S M,Force,Action,120 feet,
Blade Barrier,"Level 6 Evocation (Cleric) Casting Time: Action Range: 90 feet Components: V, S Duration: Concentration, up to 10 minutes You create a wall of whirling blades made of magical energy. The wall appears within range and lasts for the duration. You make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides Three-Quarters Cover , and its space is Difficult Terrain . Any creature in the wall’s space makes a Dexterity saving throw , taking 6d10 Force damage on a failed save or half as much damage on a successful one. A creature also makes that save if it enters the wall’s space or ends it turn there. A creature makes that save only once per turn.",6,Evocation,V S,Force,Action,"90 ft (100 feet long, 20 feet high* ○)",Dexterity
Blade of Disaster,"9th-Level Conjuration Casting Time : 1 bonus action Rang e: 60 feet Components: V, S Duration : Concentration, up to 1 minute You create a blade-shaped planar rift about 3 feet long in an unoccupied space you can see within range. The blade lasts for the duration. When you cast this spell, you can make up to two melee spell attacks with the blade, each one against a creature, loose object, or structure within 5 feet of the blade. On a hit, the target takes 4d12 force damage. This attack scores a critical hit if the number on the d20 is 18 or higher. On a critical hit, the blade deals an extra 8d12 force damage (for a total of 12d12 force damage). As a bonus action on your turn, you can move the blade up to 30 feet to an unoccupied space you can see and then make up to two melee spell attacks with it again. The blade can harmlessly pass through any barrier, including a wall of force .",9,Conjuration,"V, S",Force,1 bonus action,60 feet,
Blade Ward,"Abjuration Cantrip (Bard, Sorcerer, Warlock, Wizard) Casting Time: Action Range: Self Components: V, S Duration: Concentration, up to 1 minute Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll .",0,Abjuration,V S,,Action,,
Bless,"1st-Level Enchantment Casting Time : 1 action Rang e: 3 0 feet Components: V, S, M (a sprinkling of holy water) Duration : Concentration, up to 1 minute You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the atta⁠ck roll or saving throw. At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",1,Enchantment,V S M,,1 action,30 feet,
Blight,"Level 4 Necromancy (Druid, Sorcerer, Warlock, Wizard) Casting Time: Action Range: 30 feet Components: V, S Duration: Instantaneous A creature that you can see within range makes a Constitution saving throw , taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save . Alternatively, target a nonmagical plant that isn’t a creature, such as a tree or shrub. It doesn’t make a save; it simply withers and dies. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",4,Necromancy,V S,Necrotic,Action,,Constitution
Blinding Smite,"Level 3 Evocation (Paladin) Casting Time: Bonus Action, which you take immediately after hitting a creature with a Melee weapon or an Unarmed Strike Range: Self Components: V Duration: 1 minute The target hit by the strike takes an extra 3d8 Radiant damage from the attack, and the target has the Blinded condition until the spell ends. At the end of each of its turns, the Blinded target makes a Constitution saving throw , ending the spell on itself on a success. Using a Higher-Level Spell Slot. The extra damage increases by 1d8 for each spell slot level above 3.",3,Evocation,V,Radiant,Bonus Action,,
