name,description,Type,Rarity,Attunement,Properties
Acheron Scimitar,"Archeron Scimitar Weapon (scimitar), rare (requires attunement) The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can’t do so again until the next dusk. Damage : 1d6+1 Damage Type : Slashing Properties : Finesse, Light Weight : 3",Melee Weapon,rare,requires attunement,"Finesse, Light"
Acheron Shortsword,"Archeron Shortsword Weapon (shortsword), rare (requires attunement) The black blade of this sword is crafted from a mysterious arcane alloy. You gain a +1 bonus to attack and damage rolls made with this magic weapon. While the sword is on your person, you are immune to effects that turn undead. Dark Blessing. While holding the sword, you can use an action to give yourself 1d4 + 4 temporary hit points. This property can’t be used again until the next dusk. Disheartening Strike. When you hit a creature with an attack using this weapon, you can fill the target with unsettling dread: the target has disadvantage on the next saving throw it makes before the end of your next turn. The creature ignores this effect if it’s immune to the frightened condition. Once you use this property, you can’t do so again until the next dusk. Damage : 1d6+1 Damage Type : Piercing Properties : Finesse, Light Weight : 2",Melee Weapon,rare,requires attunement,"Finesse, Light"
Acid,"Adventuring Gear Weight: 1 lb. Cost: 25 GP When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus ) or take 2d6 Acid damage.",Adventuring Gear,None,,
Adamantine Armor,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit. Roll20 Note: This is a template for creating custom items and does not have full drag-and-drop capability.","Armor (medium or heavy, but not hide)",uncommon,,
Adamantine Armor (Template),"Armor (Any Medium or Heavy, Except Hide Armor), Uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any Critical Hit against you becomes a normal hit. Roll20 Note: This item is not supported for drag and drop.",Armor,No,,
Adamantine Arrow,"Weapon (Ammunition), Uncommon This piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this piece of ammunition hits an object, the hit is a Critical Hit.",Ammunition,No,,Ammunition
Adamantine Battleaxe,"Weapon (Battleaxe), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Versatile (1d10)
Adamantine Bolt,"Weapon (Ammunition), Uncommon This piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this piece of ammunition hits an object, the hit is a Critical Hit.",Ammunition,No,,Ammunition
Adamantine Breastplate,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Medium Armor,uncommon,,
Adamantine Chain Mail,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Heavy Armor,uncommon,,Stealth Disadvantage
Adamantine Chain Shirt,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Medium Armor,uncommon,,
Adamantine Club,"Weapon (Club), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Light
Adamantine Dagger,"Weapon (Dagger), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,"Light, Thrown"
Adamantine Firearm Bullet,"Weapon (Ammunition), Uncommon This piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this piece of ammunition hits an object, the hit is a Critical Hit.",Ammunition,No,,Ammunition
Adamantine Flail,"Weapon (Flail), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,
Adamantine Glaive,"Weapon (Glaive), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,"Reach, Two-Handed"
Adamantine Greataxe,"Weapon (Greataxe), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Two-Handed
Adamantine Greatclub,"Weapon (Greatclub), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Two-Handed
Adamantine Greatsword,"Weapon (Greatsword), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Two-Handed
Adamantine Halberd,"Weapon (Halberd), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,"Reach, Two-Handed"
Adamantine Half Plate Armor,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Medium Armor,uncommon,,Stealth Disadvantage
Adamantine Handaxe,"Weapon (Handaxe), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Thrown
Adamantine Javelin,"Weapon (Javelin), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Thrown (Range 30/120)
Adamantine Lance,"Weapon (Lance), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,"Reach, Two-Handed"
Adamantine Light Hammer,"Weapon (Light Hammer), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Thrown
Adamantine Longsword,"Weapon (Longsword), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Versatile (1d10)
Adamantine Mace,"Weapon (Mace), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,
Adamantine Maul,"Weapon (Maul), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Two-Handed
Adamantine Morningstar,"Weapon (Morningstar), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,
Adamantine Needle,"Weapon (Ammunition), Uncommon This piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this piece of ammunition hits an object, the hit is a Critical Hit.",Ammunition,No,,Ammunition
Adamantine Pike,"Weapon (Pike), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Two-Handed
Adamantine Plate Armor,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Heavy Armor,uncommon,,Stealth Disadvantage
Adamantine Quarterstaff,"Weapon (Quarterstaff), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",Simple,No,,Versatile (1d8)
Adamantine Rapier,"Weapon (Rapier), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Finesse
Adamantine Ring Mail,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Heavy Armor,uncommon,,Stealth Disadvantage
Adamantine Scale Mail,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Medium Armor,uncommon,,Stealth Disadvantage
Adamantine Scimitar,"Weapon (Scimitar), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Light
Adamantine Shortsword,"Weapon (Shortsword), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Light
Adamantine Sickle,"Weapon (Sickle), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Light
Adamantine Sling Bullet,"Weapon (Ammunition), Uncommon This piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this piece of ammunition hits an object, the hit is a Critical Hit.",Ammunition,No,,Ammunition
Adamantine Spear,"Weapon (Spear), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",simple,No,,Versatile
Adamantine Splint Armor,"Adamantine Armor Armor (medium or heavy, but not hide), uncommon This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you’re wearing it, any critical hit against you becomes a normal hit.",Heavy Armor,uncommon,,Stealth Disadvantage
Adamantine Trident,"Weapon (Trident), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Versatile
Adamantine War Pick,"Weapon (War Pick), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Versatile (1d10)
Adamantine Warhammer,"Weapon (Warhammer), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Versatile (1d10)
Adamantine Weapon (Template),"Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. Roll20 Note: This item is not supported for drag and drop.",Weapon,No,,
Adamantine Whip,"Weapon (Whip), Uncommon This weapon is made of adamantine, one of the hardest substances in existence. Whenever this weapon hits an object, the hit is a Critical Hit.",martial,No,,Reach
Adze of Annam,"Adze of Annam Melee Weapon (martial, greataxe), artifact (requires attunement) This massive adze is said to have been wielded by All-Father Annam, not as a weapon but as the tool he used to shape the various worlds of the Material Plane eons ago. Random Properties. The adze has the following random properties, determined by rolling on the appropriate table in the Dungeon Maste r’s Guide : 2 minor beneficial properties 1 major beneficial property 2 minor detrimental properties Magic Weapon. When a creature attunes to the adze, the artifact magically adjusts its size so that creature can wield it as a greataxe. The adze is a magic weapon that grants a +3 bonus to attack and damage rolls made with it. On a hit, the adze deals an additional 3d12 force damage. It also deals double damage to objects and structures. Divine Mattock. As an action, you can call upon the might of the All-Father and use the adze to cast move earth or fabricate . Once this property is used, it can’t be used again until the next dawn. Heavy. Small creatures have disadvantage on attack rolls with heavy weapons. A heavy weapon’s size and bulk make it too large for a Small creature to use effectively. Two-­Handed. This weapon requires two hands when you attack with it. Damage: 1d12 Damage Type: slashing Modifiers: Melee Attacks +3, Melee Damage +3 Properties: Heavy, Two-Handed Secondary Damage: 3d12 Secondary Damage Type: force Weight: 7",Melee Weapon,artifact,requires attunement,"Heavy, Two-Handed"
Airship,"Airship Cost: 20,000 gp Speed: 8 mph Crew: 10 Passengers: 20 Cargo (tons): 1 AC: 13 HP: 300 Damage Threshold: - Crew. A ship needs a crew of skilled hirelings to function. As per the Player’s Handbook , one skilled hireling costs at least 2 gp per day. The minimum number of skilled hirelings needed to crew a ship depends on the type of vessel, as shown in the Airborne and Waterborne Vehicles table. You can track the loyalty of individual crew members or the crew as a whole using the optional loyalty rules in chapter 4. If at least half the crew becomes disloyal during a voyage, the crew turns hostile and stages a mutiny. If the ship is berthed, disloyal crew members leave the ship and never return. Passengers. The table indicates the number of Small and Medium passengers the ship can accommodate. Accommodations consist of shared hammocks in tight quarters. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger is usually expected to pay 5 sp per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 gp per day. Cargo. The table indicates the maximum tonnage each kind of ship can carry. Damage Threshold. A ship has immunity to all damage unless it takes an amount of damage equal to or greater than its damage threshold, in which case it takes damage as normal. Any damage that fails to meet or exceed the damage threshold is considered superficial and doesn’t reduce the ship’s hit points. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 hit point of damage requires 1 day and costs 20 gp for materials and labor.",,,,
"Akmon, Hammer of Purphoros","Akmon, Hammer of Purphoros Melee weapon (martial, warhammer), artifact (requires attunement) Purphoros's hammer works wonders and disasters, the god of the forge using it to craft ground-breaking marvels and dangerous inventions in equal measure. Purphoros rarely bestows Akmon on mortals but occasionally leaves it unattended at his forge in Mount Velus. When Purphoros does permit a mortal to use the hammer, it's usually so they might bring an important work into being, wreck a force of destruction, or forge something remarkable somewhere the god isn't welcome. Hammer of the Forge. This magic warhammer grants a +3 bonus to attack and damage rolls made with it. When you hit with an attack using it, the target takes an extra 3d10 fire damage. Blessing of the Forge. If you are a worshiper of Purphoros, you gain all the following benefits for which you have the required piety: Piety 10+. The hammer has 1 randomly determined minor beneficial property. Piety 25+. The hammer has 1 randomly determined major beneficial property. Piety 50+. The hammer has 1 additional randomly determined major beneficial property. If you aren't a worshiper of Purphoros, the hammer has 2 randomly determined minor detrimental properties. See ""Artifacts"" in chapter 7 of the Dungeon Master's Guide for details on randomly determined properties. Reforged. While holding the hammer, you have resistance to fire damage and are immune to exhaustion. Additionally, you have proficiency with smith's tools and have advantage on all ability checks made using them. Spells. While the hammer is on your person, you can use an action to cast one of the following spells (save DC 18): animate objects , heat metal , fabricate , magic weapon , mending , shatter . Once you use the hammer to cast a spell, the spell can't be cast again from it until the next dusk. Destroying the Hammer. To destroy the hammer, it must be taken to the realm of Tizerus, in the Underworld. There it must be coated in clay from the Mire of Punishment. The heat of the hammer hardens the clay, which fuses to it after one month. Once fully hardened, the clay-covered hammer must be swallowed and digested by a kraken. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack. Damage: 1d8 (1d10) Damage Type: bludgeoning Modifiers: Melee Attack +3, Melee Damage +3 Secondary Damage: 3d10",Weapon ,artifact ,yes,
Alchemical Compendium,"Alchemical Compendium Wondrous item, rare (requires attunement by a wizard ) Acrid odors cling to this stained, heavy volume. The book's metal fittings are copper, iron, lead, silver, and gold, some frozen mid-transition from one metal to another. When found, the book contains the following spells: enlarge/reduce , feather fall , flesh to stone , gaseous form , magic weapon , and polymorph . It functions as a spellbook for you. While you are holding the book, you can use it as a spellcasting focus for your wizard spells. The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it: If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the transmutation school. As an action, you can touch a nonmagical object that isn't being worn or carried and spend a number of charges to transform the target into another object. For 1 charge, the object can be no larger than 1 foot on a side. You can spend additional charges to increase the maximum dimensions by 2 feet per charge. The new object must have a gold value equal to or less than the original. ",Wondrous item,rare,requires attunement by a wizard,
Alchemist's Fire,"Adventuring Gear Weight: 1 lb. Cost: 50 GP When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist’s Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus ) or take 1d4 Fire damage and start burning .",Adventuring Gear,None,,
Alchemist's Supplies,"Artisan's Tools Ability: Intelligence Weight: 8 lb. Cost: 50 GP Utilize: Identify a substance (DC 15), or start a fire (DC 15) Craft: Acid , Alchemist’s Fire , Component Pouch , Oil , Paper , Perfume",Tool,None,,
Alchemy Jug,"Alchemy Jug Wondrous item, uncommon This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can’t produce a different one, or more of one that has reached its maximum, until the next dawn. Liquid Max Amount Acid 8 ounces Basic poison 1/2 ounce Beer 4 gallons Honey 1 gallon Mayonnaise 2 gallons Oil 1 quart Vinegar 2 gallons Water, fresh 8 gallons Water, salt 12 gallons Wine 1 gallon",Wondrous item,uncommon,,
All-Purpose Tool +1,"All-Purpose Tool +1 Wondrous item, uncommon (requires attunement by an artificer ) This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +1 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.",Wondrous item,uncommon,requires attunement by an artificer,
All-Purpose Tool +2,"All-Purpose Tool +2 Wondrous item, rare (requires attunement by an artificer ) This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.",Wondrous item,rare,requires attunement by an artificer,
All-Purpose Tool +3,"All-Purpose Tool +3 Wondrous item, very rare (requires attunement by an artificer ) This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn.",Wondrous item,very rare,requires attunement by an artificer,
