name,description
Knight of the Order,"You belong to an order of knights who have sworn oaths to achieve a certain goal. The nature of this goal depends on the order you serve, but in your eyes it is without question a vital and honorable endeavor. Faerûn has a wide variety of knightly orders, all of which have a similar outlook concerning their actions and responsibilities. Though the term “knight” conjures ideas of mounted, heavily armored warriors of noble blood, most knightly orders in Faerûn don’t restrict their membership to such individuals. The goals and philosophies of the order are more important than the gear and fighting style of its members, and so most of these orders aren’t limited to fighting types, but are open to all sorts of folk who are willing to battle and die for the order’s cause. The “Knightly Orders of Faerûn” below details several of the orders that are active at present and is designed to help inform your decision about which group you owe allegiance to. Skill Proficiencies: Persuasion, plus one from among Arcana, History, Nature, and Religion, as appropriate for your order Tool Proficiencies: One type of gaming set or musical instrument Languages: One of your choice Equipment: One set of traveler’s clothes, a signet, banner or seal representing your place or rank in the order, and a pouch containing 10 gp Knightly Orders of Faerûn Many who rightfully call themselves “knight” earn that title as part of an order in service to a deity, such as Kelemvor’s Eternal Order or Mystra’s Knights of the Mystic Fire. Other knightly orders serve a government, royal family, or are the elite military of a feudal state, such as the brutal Warlock Knights of Vaasa. Other knighthoods are secular and nongovernmental organizations of warriors who follow a particular philosophy, or consider themselves a kind of extended family, similar to an order of monks. Although there are organizations, such as the Knights of the Shield, that use the trappings of knighthood without necessarily being warriors, most folk of Faerûn who hear the word “knight” think of a mounted warrior in armor beholden to a code. Below are a few knightly organizations. Knights of the Unicorn. The Knights of the Unicorn began as a fad of romantically minded sons and daughters of patriar families in Baldur’s Gate. On a lark, they took the unicorn goddess Lurue as their mascot and went on various adventures for fun. The reality of the dangers they faced eventually sank in, as did Lurue’s tenets. Over time the small group grew and spread, gaining a following in places as far as Cormyr. The Knights of the Unicorn are chivalric adventurers who follow romantic ideals: life is to be relished and lived with laughter, quests should be taken on a dare, impossible dreams should be pursued for the sheer wonder of their completion, and everyone should be praised for their strengths and comforted in their weaknesses. Knights of Myth Drannor. Long ago, the Knights of Myth Drannor were a famous adventuring band, and Dove Falconhand, one of the famous Seven Sisters, was one of them. The band took its name to honor the great but fallen city, just as the new Knights of Myth Drannor do today. With the city once again in ruins, Dove Falconhand decided to reform the group with the primary goal of building alliances and friendship between the civilized races of the world and goodly people in order to combat evil. The Knights of Myth Drannor once again ride the roads of the Dalelands, and they’ve begun to spread to the lands beyond. Their members, each accepted by Dove herself, are above all valiant and honest. Knights of the Silver Chalice. The Knights of the Silver Chalice was formed by edict of the demigod Siamorphe in Waterdeep a century ago. Siamorphe’s ethos is the nobility’s right and responsibility to rule, and the demigod is incarnated as a different noble mortal in each generation. By the decree of the Siamorphe at that time, the Knights of the Silver Chalice took it upon themselves to put a proper heir on the throne of Tethyr and reestablish order in that kingdom. Since then they have grown to be the most popular knighthood in Tethyr, a nation that has hosted many knighthoods in fealty to the crown. Feature: Knightly Regard You receive shelter and succor from members of your knightly order and those who are sympathetic to its aims. If your order is a religious one, you can gain aid from temples and other religious communities of your deity. Knights of civic orders can get help from the community—whether a lone settlement or a great nation—that they serve, and knights of philosophical orders can find help from those they have aided in pursuit of their ideals, and those who share those ideals. This help comes in the form of shelter and meals, and healing when appropriate, as well as occasionally risky assistance, such as a band of local citizens rallying to aid a sorely pressed knight in a fight, or those who support the order helping to smuggle a knight out of town when he or she is being hunted unjustly. Suggested Characteristics Use the tables for the soldier background in the Player’s Handbook as the basis for your traits and motivations, modifying the entries when appropriate to suit your identity as a knight of your order. Your bond almost always involves the order to which you belong (or at least key members of it), and it is highly unusual for a knight’s ideal not to reflect the agenda, sentiment, or philosophy of one’s order."
Lorehold Student,"You have spent your youth preparing to be a student of Lorehold College, reading every book on the college’s recommended reading list for prospective students. Your academic passions are in the broad field of history. You might dream of using magic to contact great historical figures or your own ancestors or of recreating the mighty magic of a distant age. Skill Proficiencies: History, Religion Languages: Two of your choice Equipment: A bottle of black ink, an ink pen, a hammer, a hooded lantern, a tinderbox, a tome of history, a school uniform, and a pouch containing 15 gp Feature: Lorehold Initiate You gain the Strixhaven Initiate feat and must choose Lorehold within it. In addition, if you have the Spellcasting or Pact Magic feature, the spells on the Lorehold Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Lorehold Spells Spell Level Spells 1st Comprehend Languages , Identify 2nd Borrowed Knowledge , Locate Object 3rd Speak with Dead , Spirit Guardians 4th Arcane Eye , Stone Shape 5th Flame Strike , Legend Lore Consider customizing how your spells look when you cast them. Your Lorehold spells might create displays of golden light. You might use a tome or a scroll as a spellcasting focus, and your spell effects might reflect the appearance of the reference books you study. Building a Lorehold Character Any class or subclass that deals with knowledge of the past can be a good fit in Lorehold. Bards thrive in Lorehold, and wizards (particularly those of the School of Divination) are numerous among its students. Clerics (often with the Knowledge or Light domains) are also quite common. For a more unusual take on a Lorehold student, you could consider playing a barbarian with a primal connection to the past (perhaps adopting the Path of the Ancestral Guardian from Xanathar’s Guide to Everything ) or a paladin whose Oath of the Ancients gives a concrete link to history. Suggested Characteristics. Methodical historians and daring adventurers alike can be found among the ranks of Lorehold college. The Lorehold Personality Traits table suggests a variety of traits you might adopt for your character. Lorehold Personality Traits d6 Personality Trait 1 I thrive on esoteric lore. The more obscure the historical references I can include in everyday conversation, the better. 2 By searching for these lost artifacts, I hope to find who I really am along the way. 3 I can barely go a minute without talking about my research. I have so much knowledge in my head, and it needs to be let out somewhere! 4 The spirits of the dead are so much more interesting to talk with than living classmates. 5 I can speak eloquently about the historical ramifications of an ancient war. But ask me to add two-digit numbers together, and I’m a mess. 6 In the end, it’s all just entropy. Everything falls apart someday. Lorehold Trinkets. When you make your character, you may roll once on the Lorehold Trinkets table, instead of on the Trinkets table in the Player’s Handbook , for your starting trinket. Lorehold Trinkets d6 Trinket 1 A map made of concentric circles that can be rotated around the page 2 A puzzle box bedecked with amber 3 A dented brass compass with a red needle 4 The head of a broken statue that houses the consciousness of a snarky sage 5 A sheet of parchment embossed with tactile lettering, glowing red 6 A broken dagger with a wavy blade and a serpentine hilt"
Mage of High Sorcery,"Prerequisite: Dragonlance Campaign Your talent for magic came to the attention of the Mages of High Sorcery, an organization of spellcasters that studies magic and prevents its misuse. You’ve trained among the Mages, but whether you’ll face the dangerous test required to become a full member of the group remains to be determined. Your passion for studying magic has likely already predisposed you toward one of the organization’s three orders: the benevolent Order of the White Robes, the balance-pursuing Order of the Red Robes, or the ruthless Order of the Black Robes. In the world of Krynn, many refer to the Mages of High Sorcery as the Wizards of High Sorcery. The organization accepts more than wizards, though, with sorcerers, warlocks, and other spellcasters included among their ranks. Skill Proficiencies: Arcana, History Languages: Two of your choice Equipment: A bottle of colored ink, an ink pen, a set of common clothes, and a pouch containing 10 gp Feature: Initiate of High Sorcery You gain the Initiate of High Sorcery feat (presented later in this chapter). In addition, the Mages of High Sorcery provide you with free, modest lodging and food indefinitely at any occupied Tower of High Sorcery and for one night at the home of an organization member. Building a Mage of High Sorcery Character Mages of High Sorcery are typically sorcerers, warlocks, or wizards and might have any subclass. Spellcasters who gain their magic through devotion are less likely to be welcomed among the traditionalist mages. Nevertheless, the Mages of High Sorcery are shrewd, and they rarely let unique opportunities or individuals pass them by. Even members of martial classes who train in magic might find a rare place among the group’s three orders. Mage of High Sorcery Trinkets. When you make your character, roll once on the Mage of High Sorcery Trinkets table instead of on the Trinkets table in the Player’s Handbook for your starting trinket. Mage of High Sorcery Trinkets d6 Trinket 1 An unopened letter from your first teacher 2 A broken wand made of black, red, or white wood 3 A scroll bearing an incomprehensible formula 4 A purposeless device covered in colored stones that can fold into various enigmatic shapes 5 A pouch or spellbook emblazoned with the triple moon symbol of the Mages of High Sorcery 6 A lens through which you can see Krynn’s invisible black moon, Nuitari"
Marine,"Marine You were trained for battle on sandy beaches and rocky shores. You have launched midnight raids from swift ships whose names evoke terror in the hearts of your adversaries. The water is your second home, the rain your shelter, and the crashing waves your battle cry. Skill Proficiencies: Athletics, Survival Tool Proficiencies: Vehicles (water, land) Equipment: A dagger that belonged to a fallen comrade, a folded flag emblazoned with the symbol of your ship or company, a set of traveler’s clothes, and a belt pouch containing 10 gp Feature: Steady You can move twice the normal amount of time (up to 16 hours) each day before being subject to the effect of a forced march (see “Travel Pace” in chapter 8 of the Player’s Handbook). Additionally, you can automatically find a safe route to land a boat on shore, provided such a route exists. Hardship Endured Hardship in your past has forged you into an unstoppable living weapon. This hardship is essential to you and is at the heart of a personal philosophy or ethos that often guides your actions. You can roll on the following table to determine this hardship or choose one that best fits your character. d6 Hardship 1 Nearly Drowned. You hid underwater to avoid detection by enemies and held your breath for an extremely long time. Just before you would have died, you had a revelation about your existence. 2 Captured. You spent months enduring thirst, starvation, and torture at the hands of your enemy, but you never broke. 3 Sacrifice. You enabled the escape of your fellow soldiers, but at great cost to yourself. Some of your past comrades may think you’re dead. 4 Juggernaut. No reasonable explanation can explain how you survived a particular battle. Every arrow and bolt missed you. You slew scores of enemies single-handedly and led your comrades to victory. 5 Stowaway. For days, you hid in the bilge of an enemy ship, surviving on brackish water and foolhardy rats. At the right moment, you crept up to the deck and took over the ship on your own. 6 Leave None Behind. You carried an injured marine for miles to avoid capture and death. Suggested Characteristics Marines are looked up to by other soldiers and respected by their superiors. They are veteran warriors who rarely lose composure on the battlefield. Marines who leave the service tend to work as mercenaries, but their combat experience also makes them excellent adventurers. Though they are self-reliant, marines tend to operate best in groups, valuing camaraderie and the companionship of like-minded individuals. Marine Personality Traits d8 Personality Trait 1 I speak rarely but mean every word I say. 2 I laugh loudly and see the humor in stressful situations. 3 I prefer to solve problems without violence, but I finish fights decisively. 4 I enjoy being out in nature; poor weather never sours my mood. 5 I am dependable. 6 I am always working on some project or other. 7 I become cantankerous and quiet in the rain. 8 When the sea is within my sight, my mood is jovial and optimistic. Marine Ideals d6 Ideal 1 Teamwork. Success depends on cooperation and communication. (Good) 2 Code. The marines’ code provides a solution for every problem, and following it is imperative. (Lawful) 3 Embracing. Life is messy. Throwing yourself into the worst of it is necessary to get the job done. (Chaotic) 4 Might. The strong train so that they might rule those who are weak. (Evil) 5 Bravery. To act when others quake in fear—this is the essence of the warrior. (Any) 6 Perseverance. No injury or obstacle can turn me from my goal. (Any) Marine Bonds d6 Bond 1 I face danger and evil to offset an unredeemable act in my past. 2 I. Will. Finish. The. Job. 3 I must set an example of hope for those who have given up. 4 I’m searching for a fellow marine captured by an elusive enemy. 5 Fear leads to tyranny, and both must be eradicated. 6 My commander betrayed my unit, and I will have revenge. Marine Flaws d6 Flaw 1 I grow combative and unpredictable when I drink. 2 I find civilian life difficult and struggle to say the right thing in social situations. 3 My intensity can drive others away. 4 I hold grudges and have difficulty forgiving others. 5 I become irrational when innocent people are hurt. 6 I sometimes stay up all night listening to the ghosts of my fallen enemies. Saltmarsh Ties As a former member of Saltmarsh’s elite marine contingent, you are friends of Tom and Will Stoutly and can turn to them for help and support. Eliander Fireborn, captain of the guard, also makes time to listen to your concerns."
Mercenary Veteran,"As a sell-sword who fought battles for coin, you’re well acquainted with risking life and limb for a chance at a share of treasure. Now, you look forward to fighting foes and reaping even greater rewards as an adventurer. Your experience makes you familiar with the ins and outs of mercenary life, and you likely have harrowing stories of events on the battlefield. You might have served with a large outfit such as the Zhentarim or the soldiers of Mintarn, or a smaller band of sell-swords, maybe even more than one. (See the “Mercenaries of the North” for a collection of possibilities.) Now you’re looking for something else, perhaps greater reward for the risks you take, or the freedom to choose your own activities. For whatever reason, you’re leaving behind the life of a soldier for hire, but your skills are undeniably suited for battle, so now you fight on in a different way. Skill Proficiencies: Athletics, Persuasion Tool Proficiencies: One type of gaming set, vehicles (land) Equipment: A uniform of your company (traveler’s clothes in quality), an insignia of your rank, a gaming set of your choice, and a pouch containing the remainder of your last wages (10 gp) Mercenaries of the North Countless mercenary companies operate up and down the Sword Coast and throughout the North. Most are small-scale operations that employ a dozen to a hundred folk who offer security services, hunt monsters and brigands, or go to war in exchange for gold. Some organizations, such as the Zhentarim, Flaming Fist, and the nation of Mintarn have hundreds or thousands of members and can provide private armies to those with enough funds. A few organizations operating in the North are described below. The Chill. The cold and mysterious Lurkwood serves as the home of numerous groups of goblinoids that have banded together into one tribe called the Chill. Unlike most of their kind, the Chill refrains from raiding the people of the North and maintains relatively good relations so that they can hire themselves out as warriors. Few city-states in the North are willing to field an army alongside the Chill, but several are happy to quietly pay the Chill to battle the Uthgardt, orcs, trolls of the Evermoors, and other threats to civilization. Silent Rain. Consisting solely of elves, Silent Rain is a legendary mercenary company operating out of Evereska. Caring little for gold or fame, Silent Rain agrees only to jobs that either promote elven causes or involve destroying orcs, gnolls, and the like. Prospective employers must leave written word (in Elvish) near Evereska, and the Silent Rain sends a representative if interested. The Bloodaxes. Founded in Sundabar nearly two centuries ago, the Bloodaxes were originally a group of dwarves outcast from their clans for crimes against the teachings of Moradin Soulforger. They began hiring out as mercenaries to whoever in the North would pay them. Since then the mercenary company has broadened its membership to other races, but every member is an exile, criminal, or misfit of some sort looking for a fresh start and a new family among the bold Bloodaxes. Feature: Mercenary Life You know the mercenary life as only someone who has experienced it can. You are able to identify mercenary companies by their emblems, and you know a little about any such company, including the names and reputations of its commanders and leaders, and who has hired them recently. You can find the taverns and festhalls where mercenaries abide in any area, as long as you speak the language. You can find mercenary work between adventures sufficient to maintain a comfortable lifestyle (see “Practicing a Profession” under “Downtime Activities” in chapter 8 of the Player’s Handbook). Suggested Characteristics Use the tables for the soldier background in the Player’s Handbook as the basis for your traits and motivations, modifying the entries when appropriate to suit your identity as a mercenary. Your bond could be associated with the company you traveled with previously, or with some of the comrades you served with. The ideal you embrace largely depends on your worldview and your motivation for fighting."
Merchant,"Ability Scores Constitution, Intelligence, Charisma Feat Lucky Skill Proficiencies Animal Handling and Persuasion Tool Proficiency Navigator’s Tools Equipment Choose A or B: (A) Navigator’s Tools, 2 Pouches, Traveler’s Clothes, 22 GP; or (B) 50 GP You were apprenticed to a trader, caravan master, or shopkeeper, learning the fundamentals of commerce. You traveled broadly, and you earned a living by buying and selling the raw materials artisans need to practice their craft or finished works from such crafters. You might have transported goods from one place to another (by ship, wagon, or caravan) or bought them from traveling traders and sold them in your own shop."
Noble,"Ability Scores Strength, Intelligence, Charisma Feat Skilled Skill Proficiencies History and Persuasion Tool Proficiency Choose one kind of Gaming Set Equipment Choose A or B: (A) Gaming Set (same as above), Fine Clothes, Perfume, 29 GP; or (B) 50 GP You were raised in a castle, surrounded by wealth, power, and privilege. Your family of minor aristocrats ensured that you received a first-class education, some of which you appreciated and some of which you resented. Your time in the castle, especially the many hours you spent observing your family at court, also taught you a great deal about leadership."
Orzhov Representative,"The prospect of immense wealth is the promise of membership in the Orzhov Syndicate. All of the guild’s endeavors channel wealth from Ravnican society into the ranks of the Orzhov —and concentrates the spoils at the top of the hierarchy. As a functionary in that system, your best hope is to claim as much as possible of the money that passes through your hands on its way up, so that you can work your way into a more prominent position. Regardless of your past and the wealth of your family, your initial status with the guild is near the bottom, until you have proven your value. Skill Proficiencies: Intimidation, Religion Languages: Two of your choice Equipment: An Orzhov insignia, a foot-long chain made of ten gold coins, vestments, a set of fine clothes, and a belt pouch containing 1 pp (an Orzhov-minted 10-zino coin) Feature: Leverage You can exert leverage over one or more individuals below you in the guild’s hierarchy and demand their help as needs warrant. For example, you can have a message carried across a neighborhood, procure a short carriage ride without paying, or have others clean up a bloody mess you left in an alley. The DM decides if your demands are reasonable and if there are subordinates available to fulfill them. As your status in the guild improves, you gain influence over more people, including ones in greater positions of power. Orzhov Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Orzhov Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Orzhov Guild Spells Spell Level Spells Cantrip friends, guidance 1st command, illusory script 2nd enthrall, ray of enfeeblement, zone of truth 3rd bestow curse, speak with dead, spirit guardians 4th blight, death ward, Leomund’s secret chest 5th geas Your magic tends to manifest as swirling shadows, brilliant light, or sometimes the momentary appearance of shadowy spirit forms. Your spells might draw the blood of your enemies, or even directly touch their souls. Suggested Characteristics Members of the Orzhov Syndicate range from the decadent nobility at the top of the oligarchy to the debt-ridden wretches at the bottom. You fall somewhere between those extremes, so you might behave with the arrogance of the very rich or the humility of the impoverished. Personality Traits d8 Personality Trait 1 I am always willing to act in accordance with the financial incentive offered. 2 Debts are never meant to be forgiven. 3 I am accustomed to enjoying the finest pleasures money can buy. 4 No one could doubt that I am a cut above the masses of pitiful peasants that infest the city. 5 I can’t stand to spend a zib more than necessary to purchase what I need. 6 I hate it when people try to make light of a serious situation. 7 I want to make sure everyone is aware of how wealthy, powerful, and important I am. 8 I can’t think of anything to look forward to. Ideals d6 Ideal 1 Guild. My guild is all that really matters. (Any) 2 Wealth. I will do whatever it takes to become as rich as the oligarchs. (Evil) 3 Power. One day, I will be the one giving orders. (Evil) 4 Prestige. I want to be admired, respected, feared, or even hated for my position and wealth. (Evil) 5 Stability. The economy functions best when chaos is kept under control and everyone knows their place. (Lawful) 6 Eternity. I want to live forever—in the flesh as long as possible, and as a spirit afterward. (Any) Bonds d6 Bond 1 The unbearable weight of my debt has driven me to desperation. 2 I’m duty-bound to obey the dictates of an ancestor on the Ghost Council. 3 I value my worldly goods more highly than my mortal life. 4 An oligarch publicly humiliated me, and I will exact revenge on that whole family. 5 My faith in the Obzedat never wavers. 6 I want to prove myself more worthy than an older sibling and thereby ensure that I inherit a greater share of my parents’ wealth. Flaws d6 Flaw 1 I hold a scandalous secret that could ruin my family forever—but could also earn me the favor of the Ghost Council. 2 I’m convinced that everyone I know is plotting against me. 3 I’ll brave any risk if the monetary reward is great enough. 4 I am convinced that I am far more important than anyone else is willing to acknowledge. 5 I have little respect for anyone who isn’t wealthy. 6 I’ll take any opportunity to steal from wealthier people, even for worthless trinkets."
Plaintiff,"Sure, accidents happen. But they seem to happen an awful lot when Acquisitions Incorporated operatives are on the scene. Naturally, nothing ever happens when there are no witnesses left behind. But sometimes one casualty is left a little less than dead, just waiting to discover what a lucky break that accident actually was. You were a victim of a legal incident that was ostensibly the fault of Acquisitions Incorporated. At least that’s what the local magistrate said. But before a final ruling could be handed down, Acquisitions Incorporated offered you a job! Don’t know how to swing a sword? They promised to teach you! Think you have what it takes to sling spells? They’ve got masters who’ll have you throwing fire in no time! With the promise of untold treasures and realms of magic and mystery just a dungeon away, you left your old life behind. Now a world of adventure is yours. Just initial here and sign here and here. Absolve Acq Inc of all former claims, and acknowledge you understand past outcomes don’t guarantee future results. Skill Proficiency: Medicine, Persuasion Tool Proficiencies: One type of artisan’s tools Languages: Any one of your choice Equipment: One set of artisan’s tools, fine clothes, 20 gp Feature: Legalese Your experience with your local legal system has given you a firm knowledge of the ins and outs of that system. Even when the law is not on your side, you can use complex terms like ex injuria jus non oritur and cogitationis poenam nemo patitur to frighten people into thinking you know what you’re talking about. With common folks who don’t know any better, you might be able to intimidate or deceive to get favors or special treatment. Suggested Characteristics Plaintiffs come in many varieties. Some are innocent bystanders who want only fair compensation for their injuries. Others are professional courtroom operatives, going to extreme lengths to appear wronged in pursuit of a large payout. d8 Personality Trait 1 I can’t believe I have a chance to join Acquisitions Incorporated! The fun I’m going to have! 2 I’ve been wronged my entire life, and the world owes me. 3 I have always tried to make the best of a bad situation. 4 The law doesn’t protect the honest and the hard working. I’m going to do whatever needs to be done to make things right. 5 I’m always in the wrong place at the wrong time. 6 My superiors are smarter and wiser than I am. I do what I’m told. 7 Never pass up the opportunity to make an easy bit of coin. That’s my motto. 8 I’m beginning to feel like the gods are not on my side. d6 Ideal 1 Justice. Those who break the law need to answer for their crimes. (Lawful) 2 Freedom. People must have the freedom to do what they want and pursue their dreams. (Chaotic) 3 Greed. Everyone I see is getting theirs, so I’m surely going to get mine. (Evil) 4 Chaos. You’re out of order! And you’re out of order! This whole realm is out of order! (Chaotic) 5 Humility. I’m just a small part of a larger whole. So is everyone else. (Neutral) 6 Responsibility. We all have our roles to play. I’ll hold up my end of the bargain. (Any) d6 Bond 1 Others hurt in the same accident that hurt me are my new family. I’ll make sure they’re taken care of. 2 The rulers of this place were kind to me, and they have my lifelong devotion. 3 My parents worry about me, but I’ll make them proud. 4 The only bond that matters is the one holding my money pouch to my belt. 5 The other new hires at Acquisitions Incorporated are my allies. We have each other’s backs. 6 My legal counsel is my best friend. I owe all my forthcoming opportunities to their hard work. d6 Flaw 1 The person who gains the most reward for the least effort wins. 2 Three magic beans for just one cow? What a deal! 3 I have only one vice, but it controls my life. 4 Sleep is for the weak. We need to keep training more if we’re going to be ready for the challenges ahead. 5 Until my songs are sung in every tavern in this realm, I won’t be satisfied. 6 If people find me unpleasant, that’s their problem."
Planar Philosopher,"A planar philosopher forges a portal key in the Great Foundry in Sigil, headquarters of the Mind's Eye. Prerequisite: Planescape Campaign You subscribe to a philosophy that seeks to understand the nature of the planes or some hidden truth of the multiverse. You draw strength from your conviction and, perhaps, a network of like-minded thinkers, such as the factions of Sigil (summarized below). In your travels, you explore the depths of your understanding and spread your philosophy wherever you go. Skill Proficiencies: Arcana, the skill associated with your faction (see the Sigil Faction Affinities table) or one skill of your choice Languages: Two of your choice Equipment: A portal key (such as a bag of golden tea leaves or the tooth of a planar beast), a manifesto of your guiding philosophy, a set of common clothes in your faction’s style, and a pouch containing 10 gp worth of coins from different worlds and planes Sigil Faction Affinities Faction Skill Athar Religion Bleak Cabal Insight Doomguard Nature Fated Intimidation Fraternity of Order History Hands of Havoc Stealth Harmonium Perception Heralds of Dust Medicine Mercykillers Survival Mind’s Eye Persuasion Society of Sensation Performance Transcendent Order Athletics Factions of Sigil Twelve factions have risen to prominence in the City of Doors, though many more exist. Your character might belong to one of these groups or another ideological faction, perhaps one of your own creation. The primary factions of Sigil, which are further detailed in chapter 2, adhere to the following philosophies: Athar. Deities are frauds and merely channel the might of a true, higher power. Bleak Cabal. There is no greater truth to the multiverse. Each being must discover their own meaning. Doomguard. Nothing lasts forever. The purpose of everything is to crumble and decay. Fated. Everyone makes their own fate and is entitled to whatever they can take and hold. Fraternity of Order. All of existence is governed by laws, and power comes from understanding and exploiting them. Hands of Havoc. Those who try to impose a single order on the multiverse are doomed to fail. Harmonium. The multiverse will be perfect only when everything is acting in harmony, whether it wants to or not. Heralds of Dust. Everyone is already dead; the entirety of the multiverse is an afterlife. Undeath holds the key to the next stage of existence. Mercykillers. Cold, relentless justice is absolute, and no one is above it. Mind’s Eye. The multiverse exists to be explored. It shapes us, and we shape it in turn. Society of Sensation. Sensation is the proof of existence. By experiencing everything, we can understand the multiverse in all its complexity. Transcendent Order. Thought clouds action. To fall in step with the multiverse, one must act on instinct alone. Creating Your Own Faction In Sigil, ideologies wax and wane over time, gaining popularity and drawing like-minded philosophers from one faction to another—the only constant in the City of Doors is the Lady of Pain herself. If you’d like to create and be part of your own faction, ask your DM about doing just that. Your faction should include the following details: A core philosophy centered on an assumption or fundamental truth about the multiverse or its workings A building that serves as the faction’s headquarters in the City of Doors A faction leader (called a factol) who embodies the faction’s beliefs Feature: Conviction You gain the Scion of the Outer Planes feat (presented later in this chapter). In addition, members of your organization provide you free, modest lodging and food at any of their holdings or the homes of other faction members. Building a Planar Philosopher Character Some groups of planar philosophers might prefer certain types of characters, but by and large any character who upholds and furthers the beliefs of such a group is welcome within its ranks. Suggested Characteristics. Adventurers who dedicate themselves to a particular philosophy regarding the multiverse are welcomed among factions that embrace those beliefs. The Planar Philosopher Personality Traits table suggests various traits you might adopt for your character. Planar Philosopher Personality Traits d6 Personality Trait 1 I don’t venerate any gods. With time, we can be as powerful as them or greater. 2 Experience is everything; live in the moment. 3 When things crumble, I find meaning in the dust. 4 Life thrives through order, and I seek to maintain that order. 5 When others make plans, the multiverse laughs and so do I. 6 I know what’s right, and none will stand in my way. Planar Philosopher Trinkets. When you make your character, you can roll once on the Planar Philosopher Trinkets table, instead of on the Trinkets table in the Player’s Handbook , for your starting trinket. Planar Philosopher Trinkets d6 Trinket 1 Locket with a picture of my mentor and an inscription I can’t read 2 Bleached cranium rat skull with colored glass beads in its eye sockets 3 Torn parchment with half a rebus painted on it 4 Bracelet of twisted razorvine stems 5 Fragment of a bronze blade covered in verdigris 6 Broken holy symbol of a forgotten god"
Prismari Student,"An advanced Prismari student artfully harnesses fire. You are an artist, and you have been preparing to hone your craft according to the traditions of Prismari College. Whatever your medium—sculpture, dance, paint, music, drama, architecture, or any other field—you have grand visions of bringing your art to life in a fusion of magic and creativity. Skill Proficiencies: Acrobatics, Performance Tool Proficiencies: One type of musical instrument or artisan’s tools Languages: One of your choice Equipment: A bottle of black ink, an ink pen, a set of artisan’s tools or a musical instrument (one of your choice), a school uniform, and a pouch containing 10 gp Feature: Prismari Initiate You gain the Strixhaven Initiate feat and must choose Prismari within it. In addition, if you have the Spellcasting or Pact Magic feature, the spells on the Prismari Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Prismari Spells Spell Level Spells 1st Chromatic Orb , Thunderwave 2nd Flaming Sphere , Kinetic Jaunt 3rd Haste , Water Walk 4th Freedom of Movement , Wall of Fire 5th Cone of Cold , Conjure Elemental Consider customizing how your spells look when you cast them. You might wield your Prismari spells with dynamic, gestural movement—as much dance as somatic component. Even a blast of fire in your hands is a sculpted work of art; elemental forces make grand designs as you hurl spells. These forces might linger on your body or in your clothes as decorative elements after your spells are dissipated, as sparks dance in your hair and your touch leaves tracings of frost on whatever you touch. Building a Prismari Character Any class or subclass that wields elemental forces of cold, fire, lightning, and wind can be a good fit in Prismari. Druids and sorcerers are common in Prismari, and wizards who study the Schools of Evocation or Transmutation are also well represented. Clerics aren’t very common in this school, but some with the Tempest domain end up here. Beyond the ranks of traditional spellcasters, Lorehold students also include monks who follow the Way of the Four Elements. Some acrobatic rogues and fighters (including those who emulate the archetype of the Eldritch Knight) also delight in the athleticism of Prismari performance. Suggested Characteristics. Though the curriculum of Prismari College attracts many outgoing and driven artists, the school has no shortage of shy scholars and lackadaisical blowhards among its ranks. The Prismari Personality Traits table suggests a variety of traits you might adopt for your character. Prismari Personality Traits d6 Personality Trait 1 I’m the life of the party, and I expect everyone’s attention when I walk into a room. 2 Two weeks ago, I was enthralled with my latest project. Now, I think it’s garbage and deserves to be destroyed. 3 I believe everyone has the ability to express their truest selves through art, and I’m happy to quietly push them in the right direction. 4 Everyone is a critic, and I work to win them all over. 5 I’m beset with such an overwhelming sense of ennui regarding my art. Nothing quite captures my attention anymore. 6 Instead of confronting my negative emotions, I channel them into explosive artistic displays. Prismari Trinkets. When you make your character, you may roll once on the Prismari Trinkets table, instead of on the Trinkets table in the Player’s Handbook , for your starting trinket. Prismari Trinkets d6 Trinket 1 A pair of rose-tinted glasses with glittery frames 2 A stoppered glass bottle that, when opened, plays a brassy orchestral piece 3 A quartet of hovering water motes in a vial 4 A bandolier of watercolor paints 5 A tiara capped with a crystal that crackles with harmless lightning 6 An iridescent quill"
