name,description
Fire Genasi,"Genasi Tracing their ancestry to the genies of the Elemental Planes, each genasi can tap into the power of one of the elements. Air, earth, fire, and water—these are the four pillars of the Material Plane and the four types of genasi. Some genasi are direct descendants of a genie, while others were born to non-genasi parents who lived near a place suffused by a genie’s magic. A typical genasi has a life span of 120 years. Fire Genasi Traits Descended from efreet, the genies of the Elemental Plane of Fire, fire genasi channel the flamboyant and often destructive nature of flame. They show their heritage in their skin tones, which can range from deep charcoal to shades of red and orange. Some bear skin tones common to humanity but with fiery marks, such as slowly swirling lights under their skin that resemble embers or glowing red lines tracing over their bodies like cracks. Fire genasi hair can resemble threads of fire or sooty smoke. As a fire genasi, you have the following traits. Creature Type. You are a Humanoid. Size. You are Medium or Small. You choose the size when you select this race. Speed. Your walking speed is 30 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray. Fire Resistance. You have resistance to fire damage. Reach to the Blaze. You know the produce flame cantrip. Starting at 3rd level, you can cast the burning hands spell with this trait. Starting at 5th level, you can also cast the flame blade spell with this trait, without requiring a material component. Once you cast burning hands or flame blade with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race)."
Gem Dragonborn,"Gem dragonborn partake of the heritage of gem dragons, who claim to be heirs of Sardior, the Ruby Dragon. The colors and mysterious powers of gem dragons—amethyst, crystal, emerald, sapphire, and topaz—gleam in these dragonborn's scaled skin and course through their veins. Theirs are the wonders of the mind, the force of will, the brilliant light of insight, and the resounding echo of discovery—but also the desiccation of despair. Gem Dragonborn Traits You have the following racial traits. Creature Type. You are a Humanoid. Size. You are Medium. Speed. Your walking speed is 30 feet. Gem Ancestry. You have a gem dragon ancestor, granting you a special magical affinity. Choose one kind of dragon from the Gem Ancestry table. This determines the damage type for your other traits, as shown in the table. Breath Weapon. When you take the Attack action on your turn, you can replace one of your attacks with an exhalation of magical energy in a 15-foot cone. Each creature in that area must make a Dexterity saving throw (DC = 8 + your Constitution modifier + your proficiency bonus). On a failed save, the creature takes 1d10 damage of the type associated with your Gem Ancestry. On a successful save, it takes half as much damage. This damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). You can use your Breath Weapon a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest. Draconic Resistance. You have resistance to the damage type associated with your Gem Ancestry. Psionic Mind. You can send telepathic messages to any creature you can see within 30 feet of you. You don't need to share a language with the creature for it to understand these messages, but it must be able to understand at least one language to comprehend them. Gem Flight. Starting at 5th level, you can use a bonus action to manifest spectral wings on your body. These wings last for 1 minute. For the duration, you gain a flying speed equal to your walking speed and can hover. Once you use this trait, you can't do so again until you finish a long rest. Gem Ancestry Dragon Damage Type Amethyst Force Crystal Radiant Emerald Psychic Sapphire Thunder Topaz Necrotic"
Genasi,"Those who think of other planes at all consider them remote, distant realms, but planar influence can be felt throughout the world. It sometimes manifests in beings who, through an accident of birth, carry the power of the planes in their blood. The genasi are one such people, the offspring of genies and mortals. The Elemental Planes are often inhospitable to natives of the Material Plane: crushing earth, searing flames, boundless skies, and endless seas make visiting these places dangerous for even a short time. The powerful genies, however, do not face such troubles when venturing into the mortal world. They adapt well to the mingled elements of the Material Plane, and they sometimes visit—whether of their own volition or compelled by magic. Some genies can adopt mortal guise and travel incognito. During these visits, a mortal might catch a genie’s eye. Friendship forms, romance blooms, and sometimes children result. These children are genasi: individuals with ties to two worlds, yet belonging to neither. Some genasi are born of mortal–genie unions, others have two genasi as parents, and a rare few have a genie further up their family tree, manifesting an elemental heritage that’s lain dormant for generations. Occasionally, genasi result from exposure to a surge of elemental power, through phenomena such as an eruption from the Inner Planes or a planar convergence. Elemental energy saturates any creatures in the area and might alter their nature enough that their offspring with other mortals are born as genasi. Heirs to Elemental Power Genasi inherit something from both sides of their dual nature. They resemble humans but have unusual skin color (red, green, blue, or gray), and there is something odd about them. The elemental blood flowing through their veins manifests differently in each genasi, often as magical power. Seen in silhouette, a genasi can usually pass for human. Those of earth or water descent tend to be heavier, while those of air or fire tend to be lighter. A given genasi might have some features reminiscent of the mortal parent (pointed ears from an elf, a stockier frame and thick hair from a dwarf, small hands and feet from a halfling, exceedingly large eyes from a gnome, and so on). Genasi almost never have contact with their elemental parents. Genies seldom have interest in their mortal offspring, seeing them as accidents. Many feel nothing for their genasi children at all. Some genasi live as outcasts, driven into exile for their unsettling appearance and strange magic, or assuming leadership of savage humanoids and weird cults in untamed lands. Others gain positions of great influence, especially where elemental beings are revered. A few genasi leave the Material Plane to find refuge in the households of their genie parents. Wild and Confident Genasi rarely lack confidence, seeing themselves as equal to almost any challenge in their path. This certainty might manifest as graceful self-assurance in one genasi and as arrogance in another. Such self-confidence can sometimes blind genasi to risk, and their great plans often get them and others into trouble. Too much failure can chip away at even a genasi’s sense of self, so they constantly push themselves to improve, honing their talents and perfecting their craft. Genasi Lands As rare beings, genasi might go their entire lives without encountering another one of their kind. There are no great genasi cities or empires. Genasi seldom have communities of their own and typically adopt the cultures and societies into which they are born. The more strange their appearance, the harder time they have. Many genasi lose themselves in teeming cities, where their distinctiveness hardly raises an eyebrow in places accustomed to a variety of different people. Those living on the frontier, though, have a much harder time. People there tend to be less accepting of differences. Sometimes a cold shoulder and a suspicious glare are the best genasi can hope for; in more backward places, they face ostracism and even violence from people who mistake them for fiends. Facing a hard life, these genasi seek isolation in the wilds, making their homes in mountains or forests, near lakes, or underground. Most air and fire genasi in the Realms are descendants of the djinn and efreet who once ruled Calimshan. When those rulers were overthrown, their planetouched children were scattered. Over thousands of years, the bloodlines of those genasi have spread into other lands. Though far from common, air and fire genasi are more likely to be found in the western regions of Faerûn, along the coast from Calimshan north up to the Sword Coast, and into the Western Heartlands to the east. Some remain in their ancient homeland. In contrast, water and earth genasi have no common history. Individuals have difficulty tracing their own lineage, and bloodlines occasionally skip a generation or two. Many earth genasi originated in the North and spread out from there. Water genasi come from coastal areas, the largest concentration of them hailing from the regions surrounding the Sea of Fallen Stars. The distant land of Zakhara is known only in legends to most inhabitants of Faerûn. There, genies and spellcasters enter into bargains, and genasi can result from such pacts. Those genasi have been sources of great weal and woe in the history of that land. Genasi Names Genasi use the naming conventions of the people among whom they were raised. They might later assume distinctive names to capture their heritage, such as Flame, Ember, Wave, or Onyx. Genasi on Athas Although any world that includes one or more elemental planes can feature genasi, on Athas, the world of the Dark Sun campaign setting, elemental forces hold greater sway than they do on other worlds. As a people touched by elemental power, genasi are viewed as seers, prophets, and chosen ones. The birth of a genasi, whether a slave, a noble, or a member of a desert tribe, is an auspicious event. Most Athasians believe a given genasi is destined for greatness—or infamy. Genasi Traits Your genasi character has certain characteristics in common with all other genasi. Ability Score Increase. Your Constitution score increases by 2. Age. Genasi mature at about the same rate as humans and reach adulthood in their late teens. They live somewhat longer than humans do, up to 120 years. Alignment. Independent and self-reliant, genasi tend toward a neutral alignment. Size. Genasi are as varied as their mortal parents but are generally built like humans, standing anywhere from 5 feet to over 6 feet tall. Your size is Medium. Speed. Your base walking speed is 30 feet. Languages. You can speak, read, and write Common and Primordial. Primordial is a guttural language, filled with harsh syllables and hard consonants. Subraces. Four major subraces of genasi are found among the worlds of D&D: air genasi, earth genasi, fire genasi, and water genasi. Choose one of these subraces. Genasi Backgrounds Each genasi subrace has its own temperament, which might make some backgrounds more suitable than others. Air genasi are proud of their heritage, sometimes to the point of haughtiness. They can be flamboyant, and are keen to have an audience. They rarely stay in one place for long, always looking for a new sky to see and breathe. Air genasi who don’t live in cities favor open lands such as plains, deserts, and high mountains. Fitting backgrounds include charlatan, entertainer, and noble. Earth genasi are more withdrawn, and their connection to the earth keeps them from being comfortable in most cities. Their uncommon size and strength makes them natural soldiers, though, and with their stoic demeanor, they can encourage others and become great leaders. Many earth genasi live underground, where they can be in their favored element. When they emerge from their caves, they might roam the hills and mountains or lay claim to old ruins. Appropriate backgrounds for earth genasi include hermit, outlander, and soldier. Fire genasi often get themselves into difficulty with their fiery tempers. Like their air genasi cousins, they sometimes flaunt their perceived superiority over common folk. But they also want others to share their high opinion of themselves, so they constantly seek to enhance their reputations. Likely backgrounds for a fire genasi include criminal, folk hero, and noble. Water genasi almost all have some experience aboard or around sea vessels. They make excellent mariners and fishers. Like earth genasi, though, water genasi prefer quiet and solitude; the wide shores are their natural homes. They go where they want, do what they want, and rarely feel bound to anything. Good backgrounds for water genasi include hermit and sailor."
Giff,"Giff are tall, broad-shouldered folk with hippo-like features. Some have smooth skin, while others have short bristles on their faces and the tops of their heads. As beings of impressive size and unforgettable appearance, giff are noticed wherever they go. Giff put their great size to use in all sorts of ways, from lifting heavy loads and tying tight knots to opening stuck doors and seeing over crowds. They're also natural swimmers. Most giff believe they originated on one world, but their home world is now the stuff of legend, because no living giff has seen it or knows where it is. The divine beings who created giff have likewise been forgotten. Their titanic petrified bodies drift on the Astral Sea, isolated and unrecognizable in their current forms. Although they don’t realize it, giff are drawn to the Astral Plane because, on a deep psychic level, they remain connected to their creator gods, who have just enough divine spark left in them to imbue giff with sparks of their own, which giff have learned to channel through their weapons. Most giff have no idea where this so-called astral spark comes from, but they feel its presence most strongly when they are in Wildspace or the Astral Sea. Giff are split into two camps concerning how their name is pronounced. Half of them say it with a hard g, half with a soft g. Disagreements over the correct pronunciation often blossom into hard feelings, loud arguments, and head-butting contests, but they rarely escalate beyond that. Giff Traits As a giff player character, you have the following traits. Creature Type. You are a Humanoid. Size. You are Medium. Speed. Your walking speed is 30 feet, and you have a swimming speed equal to your walking speed. Astral Spark . Your psychic connection to the Astral Plane enables you to mystically access a spark of divine power, which you can channel through your weapons. When you hit a target with a simple or martial weapon, you can cause the target to take extra force damage equal to your proficiency bonus. You can use this trait a number of times equal to your proficiency bonus, but you can use it no more than once per turn. You regain all expended uses when you finish a long rest. Firearms Mastery. You have a mystical connection to firearms that traces back to the gods of the giff, who delighted in such weapons. You have proficiency with all firearms and ignore the loading property of any firearm. In addition, attacking at long range with a firearm doesn’t impose disadvantage on your attack roll. Hippo Build. You have advantage on Strength-based ability checks and Strength saving throws. In addition, you count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift."
Gith,"At the DM’s option, you can create a gith character, using the following traits. Gith Traits Your character shares the following traits with other gith. Ability Score Increase. Your Intelligence score increases by 1. Age. Gith reach a⁠dulthood in their late teens and live for about a century. Size. Gith are taller and leaner than humans, with most a slender 6 feet in height. Speed. Your base walking speed is 30 feet. Languages. You can speak, read, and write Common and Gith. Subrace. There are two kinds of gith, githyanki and githzerai. Choose one of these subraces. Random Height and Weight Race Base Height Base Weight Height Modifier Weight Modifier Githyanki 5'0"" 100 lb. +2d12 x (2d4) lb. Githzerai 4'11"" 90 lb. +2d12 x (1d4) lb. Height = Base Height + Height Modifier (in inches) Weight = Base Weight + Height Modifier (in pounds) × Weight Modifier The Sha’sal Khou The Sha’sal Khou is an organization of g⁠ithyanki and g⁠ithzerai radicals working toward the reunification of their peoples. They want to bring about the end of the warfare between the g⁠ithyanki and g⁠ithzerai and the creat⁠ion of a new unified nation of all gith. Members of the Sha’sal Khou work secretly within their respective societies, subtly discouraging attacks on the other gith race while looking for signs of like-minded individuals who might be recruited. The group maintains hidden redoubts on the Material Plane as well. The goal of the organization is to raise a proper army and establish a fortified enclave where children will grow up calling themselves simply “gith.” The group’s most high-ranking advocate in the g⁠ithyanki hierarchy is a powerful warl⁠ord named Zetch’r’r. He secretly supports the reunification of the g⁠ithyanki and the g⁠ithzerai, and works behind the scenes to turn others toward the cause. {{Children|Subraces}}"
Githyanki,"Once members of a people who escaped servitude to mind flayers, githyanki split from their cousins, githzerai, and fled to the Astral Plane. In that timeless, silvery realm, githyanki honed their psionic powers and built a great city called Tu’narath. They have since spread throughout the multiverse, starting in outposts outside the Astral Plane, called creches, where time passes and their children can reach adulthood. A lanky people with skin tones of yellows, greens, and browns, githyanki complement their physical prowess with psionic might, instilled in them by mind flayers and cultivated over eons in the Astral Plane. Now all githyanki can use their psychic bond with that plane to access splinters of knowledge left behind by beings who travel, live, and die among the silver astral clouds. Githyanki who reside in the Astral Plane can live indefinitely. Githyanki Traits As a githyanki, you have the following racial traits. Creature Type. You are a Humanoid. Size. You are Medium. Speed. Your walking speed is 30 feet. Astral Knowledge. You can mystically access a reservoir of experiences of entities connected to the Astral Plane. Whenever you finish a long rest, you gain proficiency in one skill of your choice and with one weapon or tool of your choice, selected from the Player’s Handbook , as you momentarily project your consciousness into the Astral Plane. These proficiencies last until the end of your next long rest. Githyanki Psionics. You know the mage hand cantrip, and the hand is invisible when you cast the cantrip with this trait. Starting at 3rd level, you can cast the jump spell with this trait. Starting at 5th level, you can also cast the misty step spell with it. Once you cast jump or misty step with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race). None of these spells require spell components when you cast them with this trait. Psychic Resilience. You have resistance to psychic damage."
Githzerai,"Githzerai migrated to the Everchanging Chaos of Limbo after the ancient schism that split their ancestors from their cousins, githyanki. Limbo is a roiling maelstrom of matter and energy, collapsing and reforming without purpose or direction, until a creature exerts deliberate will to stabilize it. Through their potent psionic power, githzerai carved a home for themselves amid the chaos. As the ages passed, githzerai explorers ranged out to other planes and worlds of the multiverse. Githzerai are generally slender, with speckled skin in shades of yellow, green, or brown. Eons of cultivating their mental powers within the endless chaos of Limbo have imbued githzerai with the ability to shape psionic energy to protect themselves and probe minds. Githzerai Traits As a githzerai, you have the following racial traits. Creature Type. You are a Humanoid. Size. You are Medium. Speed. Your walking speed is 30 feet. Githzerai Psionics. You know the mage hand cantrip, and the hand is invisible when you cast the cantrip with this trait. Starting at 3rd level, you can cast the shield spell with this trait. Starting at 5th level, you can also cast the detect thoughts spell with it. Once you cast shield or detect thoughts with this trait, you can’t cast that spell with it again until you finish a long rest. You can also cast either of those spells using any spell slots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for these spells when you cast them with this trait (choose when you select this race). None of these spells require spell components when you cast them with this trait. Mental Discipline. Your innate psychic defenses grant you advantage on saving throws you make to avoid or end the charmed and frightened conditions on yourself. Psychic Resilience. You have resistance to psychic damage."
Gnome,"Creature Type Humanoid Size Small (about 3–4 feet tall) Speed 30 feet Gnomes are magical folk created by gods of invention, illusions, and life underground. The earliest gnomes were seldom seen by other folk due to the gnomes’ secretive nature and their propensity for living in forests and burrows. What they lacked in size, they made up for in cleverness. They confounded predators with traps and labyrinthine tunnels. They also learned magic from gods like Garl Glittergold, Baervan Wildwanderer, and Baravar Cloakshadow, who visited them in disguise. That magic eventually created the lineages of forest gnomes and rock gnomes. Gnomes are petite folk with big eyes and pointed ears, who live around 425 years. Many gnomes like the feeling of a roof over their head, even if that “roof” is nothing more than a hat. Gnome Traits As a Gnome, you have these special traits. Darkvision. You have Darkvision with a range of 60 feet. Gnomish Cunning. You have Advantage on Intelligence , Wisdom , and Charisma saving throws . Gnomish Lineage. You are part of a lineage that grants you supernatural abilities. Choose one of the following options; whichever one you choose, Intelligence , Wisdom , or Charisma is your spellcasting ability for the spells you cast with this trait (choose the ability when you select the lineage): Forest Gnome. You know the Minor Illusion cantrip. You also always have the Speak with Animals spell prepared. You can cast it without a spell slot a number of times equal to your Proficiency Bonus , and you regain all expended uses when you finish a Long Rest . You can also use any spell slots you have to cast the spell. Rock Gnome. You know the Mending and Prestidigitation cantrips. In addition, you can spend 10 minutes casting Prestidigitation to create a Tiny clockwork device (AC 5, 1 HP), such as a toy, fire starter, or music box. When you create the device, you determine its function by choosing one effect from Prestidigitation ; the device produces that effect whenever you or another creature takes a Bonus Action to activate it with a touch. If the chosen effect has options within it, you choose one of those options for the device when you create it. For example, if you choose the spell’s ignite-extinguish effect, you determine whether the device ignites or extinguishes fire; the device doesn’t do both. You can have three such devices in existence at a time, and each falls apart 8 hours after its creation or when you dismantle it with a touch as a Utilize action."
Goblin,"Whether sniveling in fear, cackling with mad laughter, or snarling in a fury, goblins are wretched and inconsequential—at least in the eyes of most of Ravnica’s other folk. In their own minds, though, they are content to lurk in the shadows only until they fully come into their own and receive the recognition they believe they deserve. They are entitled to some credit for their tenacity, agility, crafty ingenuity, and dumb luck, all of which has enabled them to survive in a world overrun with creatures larger and more powerful than they are. Small and Wiry Standing around 3 feet tall and covered in warty green or red skin, goblins have huge noses and ears. Their wiry bodies are surprisingly strong, and their mouths are full of sharp, crooked teeth. Most goblins are bald, either by heredity or by choice, but a few boast shocks of red or black hair. Their arms and legs are elongated in proportion to their small bodies, and their fingers and toes are also long and slender. Many goblins prefer to go unshod to leave their toes exposed for climbing. Unfettered Emotion Creatures of raw impulse, goblins are found among guilds that value that quality, particularly the Izzet (where they typically serve as attendants for researchers), the Gruul (in camps that form hapless buffers between the clans and civilized regions), the Rakdos (putting their love of explosions to good use), and occasionally the Boros (if they discover a well of discipline and courage within themselves, or find themselves unable to resist the shininess of Boros weapons and armor). Many goblins are guildless and make their way as members of street gangs. Sometimes driven by wild mood swings, goblins have an inclination toward destruction, which can take a playful form but is often anything but. Some goblins clobber things, others like to light them on fire, and many love to blow things up. Goblins have an outrageous sense of humor, usually expressed through mischievous pranks. The malicious among them find pleasure in the misfortune of others and tend to cackle maniacally whenever they’re amused. They can act with apparent randomness, sometimes just to confuse and befuddle others. Goblin Names The Goblin language is fond of certain sounds, and goblin names tend to repeat those sounds to form what can sound like nonsense words. A goblin’s name gives no indication of gender. Goblin Names: Azzinax, Babolax, Blixanix, Crixizix, Dazzaz, Estrix, Finizix, Juzba, Kaluzax, Lyzaxa, Mizzix, Myznar, Nixispix, Paxizaz, Ravixiz, Stixil, Sunnix, Tozinox, Uxivozi, Vazozav, Wexiny, Zizzix Goblin Traits Your goblin character has the following racial traits. Ability Score Increase. Your Dexterity score increases by 2, and your Constitution score increases by 1. Age. Goblins reach adulthood around age 8. They age noticeably faster than humans, and though few goblins live to old age, the most cautious rarely live longer than 60 years. Alignment. Most of the goblins of Ravnica are chaotic, with no inclination toward good or evil. Size. Goblins are between 3 and 4 feet tall and weigh between 40 and 80 pounds. Your size is Small. Speed. Your base walking speed is 30 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray. Fury of the Small. When you damage a creature with an attack or a spell and the creature’s size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your level. Once you use this trait, you can’t use it again until you finish a short or long rest. Nimble Escape. You can take the Disengage or Hide action as a bonus action on each of your turns. Languages. You can speak, read, and write Common and Goblin. In Ravnica, Goblin is a simplistic language with a limited vocabulary and fluid rules of grammar, unsuited for any sophisticated conversation."
Goblin (Eberron),"Hoisting the head by the fading plumes of the ruined helmet, still tied under the chin by a cord, Haruuc raised it in one hand and his bloody sword in the other. “Your lord is dead!” he howled in the human language. “The battle is done! By my sword, I claim this place and name it Rhukaan Draal, the crown city of Darguun, the land of the people!” —Don Bassingthwaite, The Doom of Kings The goblinoid species—goblins, hobgoblins, and bug bears—were once the dominant civilization in Khorvaire, with the goblinoid Empire of Dhakaan ruling the continent for thousands of years. It was crippled by a long conflict with the daelkyr and their aberrant armies; even though the daelkyr were defeated, the seeds of madness took root in the empire and tore it apart. Today there are four primary goblinoid cultures in Khorvaire. City Goblins Goblins dwell in most of the major cities of the Five Nations. When humans first came to Khorvaire, they enslaved many goblins and built their cities on the foundations of Dhakaani ruins. Galifar ended the practice of slavery, and these goblins are now citizens of the Five Nations. Gifted goblins can be found in all walks of life, and goblins served in the armies of the Five Nations during the Last War. The Ghaal’dar The Ghaal’dar tribes arose from the remnants of the Dhakaani Empire. Hobgoblins are the leaders of the Ghaal’dar, enforcing their will on their goblin and bug bear peers. The history of the Ghaal’dar is filled with strife; when they weren’t fighting Galifar or Zilargo, the tribes usually turned on one another. This came to an end with the Last War. House Deneith hired Ghaal’dar mercenaries, and this gave focus to the divided tribes. A brilliant hobgoblin, Haruuc, united the Ghaal’dar, and under his leadership they seized control of what is now Darguun (see chapter 2). The aging Lhesh Haruuc remains as the ruler of Darguun, and many fear that his death could throw the region into chaos. As a Ghaal’dar goblinoid, you hold your place through cunning and strength. You may have been a former mercenary now seeking adventure. You could be working as an emissary for one of the Ghaal’dar tribes or even Lhesh Haruuc himself. Or you could have been driven from your tribe by the actions of a rival; perhaps you’re seeking allies to reclaim your birthright. The Marguul The Marguul bugbears threw off the yoke of the Ghaal’dar long ago, seizing territory in the Seawall Mountains in the south of Darguun. They are infamous raiders, and while they have brokered a truce with the Ghaal’dar, anyone venturing into the Seawall Mountains had best travel with a Marguul guide. As a Marguul bugbear, you are savage and proud of it. The Marguul worship the Mockery and believe in victory by any means necessary: there is no such thing as honor on the battlefield. It’s certainly an unusual choice for a player character, but if you’ve taken a liking to a particular group of the small folk, you could be a powerful ally. The Heirs of Dhakaan Though the Dhakaani Empire defeated the alien daelkyr, the war left seeds of corruption strewn throughout the empire. As Dhakaan began to fall, a number of generals and governors gathered their forces and retreated into shelters deep within the earth, determined to preserve their civilization until the Empire could finally be restored. After thousands of years, their descendants have finally emerged, competing among themselves to determine which leader deserves the imperial crown. Once this is settled, they will turn to the conquest of Darguun and Khorvaire. The Dhakaani are far fewer in number than the Ghaal’dar; they had to carefully limit their population in the underground vaults they’ve dwelled in for the past age. However, they have held onto the martial discipline and techniques that allowed their ancestors to dominate the continent. Their weaponsmiths are superior even to the artificers of House Cannith, and they are experts in the working of adamantine and other exotic metals. Anyone who presumes to look down upon goblinoids should be surprised by the skills of the Dhakaani. The Heirs of Dhakaan are an agnostic society and don’t have clerics, paladins, or druids. Their focus is on martial excellence, and their spiritual leaders are bards, who tell tales of past glory. Among the Dhakaan, goblinoids work together. Hobgoblins are the strategists and commanders, typically having the skills of fighters, bards, or rangers. Bugbears cultivate a focused battle rage and are typically barbarians. Goblins are largely artisans and laborers, but exceptional goblins join the khesh’dar (“silent folk”), learning the skills of rogues, monks, or rangers. The khesh’dar spread agents across the Five Nations, and one can never know when a city goblin might turn out to be an assassin. As an adventurer from a Dhakaani clan, consider why are you working with the other player characters? Are you a scout gathering information? Are you searching for allies to defeat a rival clan, or to support your own unlikely bid for the Imperial throne? Are you an exile? If so, do you hope to regain your position, or have you abandoned your ties to the Dhakaani? Goblinoid Names Goblinoid names often feature drawn-out vowel sounds (represented by doubled letters), as seen in the names of both their ancient empire (Dhakaan) and their newborn country (Darguun). Goblins, hobgoblins, and bugbears use the same names and naming conventions, despite their tribal differences. Male Names: Aruget, Chetiin, Daavn, Dabrak, Dagii, Drevduul, Duulan, Fenic, Gudruun, Haluun, Haruuc, Jhazaal, Kallaad, Krakuul, Krootad, Mazaan, Munta, Nasaar, Rakari, Reksiit, Tariic, Taruuzh, Thuun, Vanii, Vanon, Wuudaraj Female Names: Aaspar, Aguus, Belaluur, Denaal, Draraar, Duusha, Ekhaas, Eluun, Graal, Gaduul, Ha- shak, Jheluum, Kelaal, Mulaan, Nasree, Raleen, Razu, Rekseen, Senen, Shedroor, Tajiin, Tuneer, Valii, Wuun Racial Traits If you’re playing a goblinoid, your racial traits are determined by whether you’re a bugbear, goblin, or hobgoblin. Goblin Traits Your goblin character has the following racial traits. Ability Score Increase. Your Dexterity score increases by 2, and your Constitution score in- creases by 1. Age. Goblins reach adulthood at age 8 and live up to 60 years. Alignment. In Eberron, goblins are usually neutral. They tend to look out for themselves, preferably without drawing unwanted attention from any larger, more powerful people. Size. Your size is Small. To set your height and weight randomly, start with rolling a size modifier: Size modifier = 2d4 Height = 3 feet + 5 inches + your size modifier in inches Weight in pounds = 35 + your size modifier Speed. Your base walking speed is 30 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray. Fury of the Small. When you damage a creature with an attack or a spell and the creature’s size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your level. Once you use this trait, you can’t use it again until you finish a short or long rest. Nimble Escape. You can take the Disengage or Hide action as a bonus action on each of your turns. Languages. You can speak, read, and write Common and Goblin."
Goblin (Volo's),"Goblin Traits Your goblin character has the following racial traits. Ability Score Increase. Your Dexterity score increases by 2, and your Constitution score increases by 1. Age. Goblins reach adulthood at age 8 and live up to 60 years. Alignment. Goblins are typically neutral evil, as they care only for their own needs. A few goblins might tend toward good or neutrality, but only rarely. Size. Goblins are between 3 and 4 feet tall and weigh between 40 and 80 pounds. Your size is Small. Speed. Your base walking speed is 30 feet. Darkvision. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can’t discern color in darkness, only shades of gray. Fury of the Small. When you damage a creature with an attack or a spell and the creature’s size is larger than yours, you can cause the attack or spell to deal extra damage to the creature. The extra damage equals your level. Once you use this trait, you can’t use it again until you finish a short or long rest. Nimble Escape. You can take the Disengage or Hide action as a bonus action on each of your turns. Languages. You can speak, read, and write Common and Goblin."
Goliath,"At the highest mountain peaks—far above the slopes where trees grow, where the air is thin and the frigid winds howl—dwell the reclusive goliaths. Few other folk can truthfully claim to have seen a goliath, and fewer still to have forged a friendship with one. Goliaths love to compete and keep score, counting up their deeds and tallying their accomplishments to compare to what others have done. Goliaths love to win, but they see defeat as an incentive to improve their skills. Above all else, every goliath is driven to outdo their past performance, taking greater and greater risks. As a result, few goliaths live to see old age. Goliath Names Every goliath has three names: a birth name assigned by the newborn’s mother and father, a nickname assigned by the tribal chief, and a family or clan name. Birth Names: Aukan, Eglath, Gae-Al, Gauthak, Ilikan, Keothi, Kuori, Lo-Kag, Manneo, Maveith, Nalla, Orilo, Paavu, Pethani, Thalai, Thotham, Uthal, Vaunea, Vimak Nicknames: Bearkiller, Dawncaller, Fearless, Flintfinder, Horncarver, Keeneye, Lonehunter, Longleaper, Rootsmasher, Steadyhand, Threadtwister, Twice-Orphaned, Twistedlimb, Wordpainter Clan Names: Akannathi, Anakalathai, Elanithino, Gathakanathi, Kalagiano, Katho-Olavi, Kolae-Gileana, Ogolakanu, Thuliaga, Thunukalathi, Thuunlakalaga Goliath Player Characters With your consent, any player in your game can play a goliath character. A goliath native to Icewind Dale can be a member of the Skytower (Akannathi) clan, the Wyrmdoom (Thuunlakalaga) clan, or another goliath clan that you and the player create together. A goliath character has the following traits. Ability Score Increase. Your Strength score increases by 2, and your Constitution score increases by 1. Age. Goliaths have life spans comparable to humans. They enter adulthood in their late teens and usually live less than a century. Size. Goliaths stand between 7 and 8 feet tall and weigh between 280 and 340 pounds. Your size is Medium. Speed. Your base walking speed is 30 feet. Natural Athlete. You have proficiency in the Athletics skill. Stone’s Endurance. You can focus yourself to occasionally shrug off injury. When you take damage, you can use your reaction to roll a d12. Add your Constitution modifier to the number rolled and reduce the damage by that total. After you use this trait, you can’t use it again until you finish a short or long rest. Powerful Build. You count as one size larger when determining your carrying capacity and the weight you can push, drag, or lift. Mountain Born. You have resistance to cold damage. You’re also acclimated to high altitude, including elevations above 20,000 feet. Languages. You can speak, read, and write Common and Giant. Spine of the World Goliaths Goliaths inhabit the Spine of the World, where their mettle is tested against orcs, ogres, frost giants, remorhazes, ice trolls, young white dragons, the treacherous mountain terrain, and the cruel indifference of nature. Bitter Rivals. Skytower Shelter and Wyrmdoom Crag are two mountain strongholds inhabited by goliaths. The former is home to the Skytower (Akannathi) clan, the latter to the Wyrmdoom (Thuunlakalaga) clan. The two groups refuse to get along, and competition between them is fierce and often violent. They stare at each other across mountain peaks and fight over everything from necessities to territory. The likelihood of peace between them is remote, because goliaths like to hold grudges."
