name,type,subtype,rarity,cost,weight,description,attunement
"Adamantine Bullet, Sling",Adventuring Gear,Ammunition,Uncommon,"40,001 cp",0.075," Ammunition is required by a weapon that has the Ammunition property. A weapon's description specifies the type of ammunition used by the weapon. Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Chain Mail Armor,Armor,Heavy Armor,Uncommon,101 - 500 gp,55," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Chain Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets. ",FALSE
Adamantine Chain Shirt Armor,Armor,Medium Armor,Uncommon,101 - 500 gp,20," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Chain Shirt Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers. ",FALSE
Adamantine Club,Weapon,Simple Melee Weapons,Uncommon,"4,001 sp",2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Dagger,Weapon,Simple Melee Weapons,Uncommon,402 gp,1," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Flail,Weapon,Martial Melee Weapons,Uncommon,410 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Glaive,Weapon,Martial Melee Weapons,Uncommon,420 gp,6," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Greataxe,Weapon,Martial Melee Weapons,Uncommon,430 gp,7," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Greatclub,Weapon,Simple Melee Weapons,Uncommon,"4,002 sp",10," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Greatsword,Weapon,Martial Melee Weapons,Uncommon,450 gp,6," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Halberd,Weapon,Martial Melee Weapons,Uncommon,420 gp,6," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Half Plate Armor,Armor,Medium Armor,Uncommon,101 - 500 gp,40," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Half Plate Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps. ",FALSE
Adamantine Handaxe,Weapon,Simple Melee Weapons,Uncommon,405 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Ingot,Adventuring Gear,Treasure,,10 gp,1, An ingot of pure adamantine stamped with the Hrakhamar Forge Dwarven rune ,FALSE
Adamantine Javelin,Weapon,Simple Melee Weapons,Uncommon,801 ep,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Lance,Weapon,Martial Melee Weapons,Uncommon,410 gp,6," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Light Hammer,Weapon,Simple Melee Weapons,Uncommon,402 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Longsword,Weapon,Martial Melee Weapons,Uncommon,415 gp,3," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Mace,Weapon,Simple Melee Weapons,Uncommon,405 gp,4," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Maul,Weapon,Martial Melee Weapons,Uncommon,410 gp,10," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Morningstar,Weapon,Martial Melee Weapons,Uncommon,415 gp,4," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Needle,Adventuring Gear,Ammunition,Uncommon,"40,002 cp",0.02," Ammunition is required by a weapon that has the Ammunition property. A weapon's description specifies the type of ammunition used by the weapon. Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Pike,Weapon,Martial Melee Weapons,Uncommon,405 gp,18," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Plate Armor,Armor,Heavy Armor,Uncommon,101 - 500 gp,65," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Plate Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body. ",FALSE
Adamantine Quarterstaff,Weapon,Simple Melee Weapons,Uncommon,"4,002 sp",4," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Rapier,Weapon,Martial Melee Weapons,Uncommon,425 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Ring Mail Armor,Armor,Heavy Armor,Uncommon,101 - 500 gp,40," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Ring Mail Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor. ",FALSE
Adamantine Scale Mail Armor,Armor,Medium Armor,Uncommon,101 - 500 gp,45," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Scale Mail Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets. ",FALSE
Adamantine Scimitar,Weapon,Martial Melee Weapons,Uncommon,425 gp,3," Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Shortsword,Weapon,Martial Melee Weapons,Uncommon,410 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Sickle,Weapon,Simple Melee Weapons,Uncommon,401 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Spear,Weapon,Simple Melee Weapons,Uncommon,401 gp,3," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Splint Armor,Armor,Heavy Armor,Uncommon,101 - 500 gp,60," Description This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit. Splint Notes Of all the armor categories, heavy armor offers the best protection. These suits of armor cover the entire body and are designed to stop a wide range of attacks. Only proficient warriors can manage their weight and bulk. This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints. ",FALSE
Adamantine Trident,Weapon,Martial Melee Weapons,Uncommon,405 gp,4," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine War Pick,Weapon,Martial Melee Weapons,Uncommon,405 gp,2," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Warhammer,Weapon,Martial Melee Weapons,Uncommon,415 gp,5," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Adamantine Whip,Weapon,Martial Melee Weapons,Uncommon,402 gp,3," Adamantine Weapon Notes Adamantine Weapon Weapon (Any Ammunition or Melee Weapon), Uncommon This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. ",FALSE
Alchemical Compendium,Wondrous Item,,Rare (Requires Attunement By A Wizard),"501 - 5,000 gp",3," Description Acrid odors cling to this stained, heavy volume. The book's metal fittings are copper, iron, lead, silver, and gold, some frozen mid-transition from one metal to another. When found, the book contains the following spells: enlarge/reduce, feather fall, flesh to stone, gaseous form, magic weapon, and polymorph. It functions as a spellbook for you. While you are holding the book, you can use it as a spellcasting focus for your wizard spells. The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it: If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the transmutation school. As an action, you can touch a nonmagical object that isn't being worn or carried and spend a number of charges to transform the target into another object. For 1 charge, the object can be no larger than 1 foot on a side. You can spend additional charges to increase the maximum dimensions by 2 feet per charge. The new object must have a gold value equal to or less than the original. Spellbook Notes Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells. ",TRUE
Alchemist's Fire (Flask),Adventuring Gear,Standard,,50 gp,1," This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames. ",FALSE
Alchemist's Supplies,Tools,Artisan's Tools,,50 gp,8," Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire. Alchemist's supplies include two glass beakers, a metal frame to hold a beaker in place over an open flame, a glass stirring rod, a small mortar and pestle, and a pouch of common alchemical ingredients, including salt, powdered iron, and purified water. ",FALSE
Alchemy Jug,Wondrous Item,,Uncommon,101 - 500 gp,4," Description This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. Liquid Max Amount Acid 8 ounces Basic poison 1/2 ounce Beer 4 gallons Honey 1 gallon Mayonnaise 2 gallons Oil 1 quart Vinegar 2 gallons Water, fresh 8 gallons Water, salt 12 gallons Wine 1 gallon ",FALSE
Ale (mug),Services,"Food, Drink, and Lodging",common,4 CP,0, ,FALSE
Alexandrite,Treasure,Gemstones (500 Gp),,500 gp,0.02, This gemstone is transparent dark green in color. ,FALSE
"All-Purpose Tool, +1",Wondrous Item,,Uncommon (Requires Attunement By An Artificer),101 - 500 gp,0," Description This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +1 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn. Screwdriver Notes A simple tool ",TRUE
"All-Purpose Tool, +2",Wondrous Item,,Rare (Requires Attunement By An Artificer),"501 - 5,000 gp",0," Description This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn. Screwdriver Notes A simple tool ",TRUE
"All-Purpose Tool, +3",Wondrous Item,,Very Rare (Requires Attunement By An Artificer),"5,001 - 50,000 gp",0," Description This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn. Screwdriver Notes A simple tool ",TRUE
Alms Box,Adventuring Gear,Standard,,5 sp,1, ,FALSE
Amber,Treasure,Gemstones (100 Gp),,100 gp,0.01, This gemstone is transparent watery gold to rich gold in color. ,FALSE
Amethyst,Treasure,Gemstones (100 Gp),,100 gp,0.01, This gemstone is transparent deep purple in color. ,FALSE
Amnian Doublet,Adventuring Gear,Treasure,,75 gp,2, A bejeweled Amnian doublet with matching money pouch ,FALSE
Amulet,Adventuring Gear,Holy Symbol,,5 gp,1," A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",FALSE
Amulet of Health,Wondrous Item,,Rare (Requires Attunement),"501 - 5,000 gp",1," Description Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is 19 or higher without it. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",TRUE
Amulet of Proof against Detection and Location,Wondrous Item,,Uncommon (Requires Attunement),101 - 500 gp,1," Description While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",TRUE
Amulet of the Black Skull,Adventuring Gear,Holy Symbol,Very Rare (Requires Attunement,"9,656 gp",1," A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. Amulet of the Black Skull Notes This amulet is carved from obsidian and shaped like a screaming humanoid skull, with ruby eyes and emeralds for teeth. It hangs from an iron chain necklace. The amulet has 6 charges and regains 1d6 charges daily at dawn. While wearing the amulet, you can use an action to expend 1 of its charges to transport yourself and anything you are wearing or carrying to a location within 100 feet of you. The destination you choose doesn't need to be in your line of sight, but it must be familiar to you (in other words, a place you have seen or visited), and it must be on the same plane of existence as you. This effect isn't subject to the magic restrictions placed on the Tomb of the Nine Gods; thus, the amulet can be used to enter and exit the tomb. If you aren't undead, you must make a DC 16 Constitution saving throw each time you use the amulet to teleport. On a failed saving throw, the black skull cackles as you are transformed in transit. The transformation takes effect as soon as you arrive at the destination, and is determined randomly by rolling percentile dice and consulting the Black Skull Transformation table. ",TRUE
"Amulet of the Devout, +1",Wondrous Item,,Uncommon (Requires Attunement By A Cleric Or Paladin),101 - 500 gp,1," Description This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +1 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",TRUE
"Amulet of the Devout, +2",Wondrous Item,,Rare (Requires Attunement By A Cleric Or Paladin),"501 - 5,000 gp",1," Description This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",TRUE
"Amulet of the Devout, +3",Wondrous Item,,Very Rare (Requires Attunement By A Cleric Or Paladin),"5,001 - 50,000 gp",1," Description This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +3 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",TRUE
Amulet of the Planes,Wondrous Item,,Very Rare (Requires Attunement),"5,001 - 50,000 gp",1," Description While wearing this amulet, you can use an action to name a location that you are familiar with on another plane of existence. Then make a DC 15 Intelligence check. On a successful check, you cast the plane shift spell. On a failure, you and each creature and object within 15 feet of you travel to a random destination. Roll a d100. On a 1-60, you travel to a random location on the plane you named. On a 61-100, you travel to a randomly determined plane of existence. Amulet Notes A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. The Player's Handbook lists many gods in the multiverse and their typical symbols. A cleric or paladin can use a holy symbol as a spellcasting focus, as described in chapter To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield. ",TRUE
